year	region	bug	drug	n_isolates	pct_resistant
1999	East North Central	Acinetobacter baumannii	Amikacin	105	10
2000	East North Central	Acinetobacter baumannii	Amikacin	120	23
2001	East North Central	Acinetobacter baumannii	Amikacin	140	26
2002	East North Central	Acinetobacter baumannii	Amikacin	109	17
2003	East North Central	Acinetobacter baumannii	Amikacin	90	10
2004	East North Central	Acinetobacter baumannii	Amikacin	203	13
2005	East North Central	Acinetobacter baumannii	Amikacin	149	17
2006	East North Central	Acinetobacter baumannii	Amikacin	130	16
2007	East North Central	Acinetobacter baumannii	Amikacin	184	32
2008	East North Central	Acinetobacter baumannii	Amikacin	136	57
2009	East North Central	Acinetobacter baumannii	Amikacin	138	63
2010	East North Central	Acinetobacter baumannii	Amikacin	103	58
2011	East North Central	Acinetobacter baumannii	Amikacin	46	48
1999	East South Central	Acinetobacter baumannii	Amikacin	34	6
2000	East South Central	Acinetobacter baumannii	Amikacin	43	9
2001	East South Central	Acinetobacter baumannii	Amikacin	43	2
2002	East South Central	Acinetobacter baumannii	Amikacin	48	13
2003	East South Central	Acinetobacter baumannii	Amikacin	72	4
2004	East South Central	Acinetobacter baumannii	Amikacin	58	12
2005	East South Central	Acinetobacter baumannii	Amikacin	68	9
2006	East South Central	Acinetobacter baumannii	Amikacin	35	31
1999	Mid Atlantic	Acinetobacter baumannii	Amikacin	43	28
2000	Mid Atlantic	Acinetobacter baumannii	Amikacin	133	26
2001	Mid Atlantic	Acinetobacter baumannii	Amikacin	181	20
2002	Mid Atlantic	Acinetobacter baumannii	Amikacin	283	40
2003	Mid Atlantic	Acinetobacter baumannii	Amikacin	210	31
2004	Mid Atlantic	Acinetobacter baumannii	Amikacin	169	22
2005	Mid Atlantic	Acinetobacter baumannii	Amikacin	132	26
2006	Mid Atlantic	Acinetobacter baumannii	Amikacin	90	9
2007	Mid Atlantic	Acinetobacter baumannii	Amikacin	77	16
2008	Mid Atlantic	Acinetobacter baumannii	Amikacin	75	51
2005	Mountain	Acinetobacter baumannii	Amikacin	50	52
2006	Mountain	Acinetobacter baumannii	Amikacin	49	33
2007	Mountain	Acinetobacter baumannii	Amikacin	39	44
2006	New England	Acinetobacter baumannii	Amikacin	52	4
2007	New England	Acinetobacter baumannii	Amikacin	37	5
2000	Pacific	Acinetobacter baumannii	Amikacin	41	7
2001	Pacific	Acinetobacter baumannii	Amikacin	74	5
2002	Pacific	Acinetobacter baumannii	Amikacin	92	22
2003	Pacific	Acinetobacter baumannii	Amikacin	124	17
2004	Pacific	Acinetobacter baumannii	Amikacin	184	27
2005	Pacific	Acinetobacter baumannii	Amikacin	169	20
2006	Pacific	Acinetobacter baumannii	Amikacin	130	15
2007	Pacific	Acinetobacter baumannii	Amikacin	121	21
2008	Pacific	Acinetobacter baumannii	Amikacin	112	37
2009	Pacific	Acinetobacter baumannii	Amikacin	77	36
2010	Pacific	Acinetobacter baumannii	Amikacin	63	24
2011	Pacific	Acinetobacter baumannii	Amikacin	63	30
1999	South Atlantic	Acinetobacter baumannii	Amikacin	48	6
2000	South Atlantic	Acinetobacter baumannii	Amikacin	118	11
2001	South Atlantic	Acinetobacter baumannii	Amikacin	211	11
2002	South Atlantic	Acinetobacter baumannii	Amikacin	201	17
2003	South Atlantic	Acinetobacter baumannii	Amikacin	209	20
