drug_group	state	year	value
overall	Alabama	1999	1169
overall	Alabama	2000	1148
overall	Alabama	2001	1149
overall	Alabama	2002	1140
overall	Alabama	2003	1179
overall	Alabama	2004	1053
overall	Alabama	2005	1094
overall	Alabama	2006	1111
overall	Alabama	2007	1100
overall	Alabama	2008	1132
overall	Alabama	2009	1148
overall	Alabama	2010	1084
overall	Alabama	2011	1194
overall	Alabama	2012	1264
overall	Alaska	1999	566
overall	Alaska	2000	589
overall	Alaska	2001	623
overall	Alaska	2002	596
overall	Alaska	2003	602
overall	Alaska	2004	528
overall	Alaska	2005	545
overall	Alaska	2006	525
overall	Alaska	2007	549
overall	Alaska	2008	571
overall	Alaska	2009	541
overall	Alaska	2010	512
overall	Alaska	2011	568
overall	Alaska	2012	533
overall	Arizona	1999	796
overall	Arizona	2000	746
overall	Arizona	2001	718
overall	Arizona	2002	723
overall	Arizona	2003	737
overall	Arizona	2004	677
overall	Arizona	2005	815
overall	Arizona	2006	784
overall	Arizona	2007	742
overall	Arizona	2008	757
overall	Arizona	2009	757
overall	Arizona	2010	738
overall	Arizona	2011	892
overall	Arizona	2012	857
overall	Arkansas	1999	1145
overall	Arkansas	2000	1047
overall	Arkansas	2001	1035
overall	Arkansas	2002	1080
overall	Arkansas	2003	1098
overall	Arkansas	2004	1057
overall	Arkansas	2005	1038
overall	Arkansas	2006	990
overall	Arkansas	2007	1049
overall	Arkansas	2008	1056
overall	Arkansas	2009	1074
overall	Arkansas	2010	1027
overall	Arkansas	2011	1055
overall	Arkansas	2012	1162
overall	California	1999	725
overall	California	2000	689
overall	California	2001	706
overall	California	2002	673
overall	California	2003	698
overall	California	2004	635
overall	California	2005	654
overall	California	2006	635
overall	California	2007	616
overall	California	2008	616
overall	California	2009	601
overall	California	2010	558
overall	California	2011	645
overall	California	2012	608
overall	Colorado	1999	819
overall	Colorado	2000	755
overall	Colorado	2001	716
overall	Colorado	2002	659
overall	Colorado	2003	666
overall	Colorado	2004	614
overall	Colorado	2005	661
overall	Colorado	2006	644
overall	Colorado	2007	646
overall	Colorado	2008	641
overall	Colorado	2009	618
overall	Colorado	2010	615
overall	Colorado	2011	680
overall	Colorado	2012	666
overall	Connecticut	1999	1010
overall	Connecticut	2000	976
overall	Connecticut	2001	914
overall	Connecticut	2002	950
overall	Connecticut	2003	972
overall	Connecticut	2004	883
overall	Connecticut	2005	922
overall	Connecticut	2006	939
overall	Connecticut	2007	911
overall	Connecticut	2008	888
overall	Connecticut	2009	883
overall	Connecticut	2010	826
overall	Connecticut	2011	904
overall	Connecticut	2012	902
overall	Delaware	1999	1078
overall	Delaware	2000	1022
overall	Delaware	2001	990
