country	bug	drug	n_resistant	n_isolates	did
AUT	Escherichia coli	quinolone	4426	20501	1.336
BEL	Escherichia coli	quinolone	4003	16341	2.654
BGR	Escherichia coli	quinolone	373	1008	2.576
HRV	Escherichia coli	quinolone	1037	4980	1.456
CZE	Escherichia coli	quinolone	3384	14585	0.978
DNK	Escherichia coli	quinolone	3095	20528	0.526
EST	Escherichia coli	quinolone	206	1617	0.882
FIN	Escherichia coli	quinolone	2204	18191	0.846
FRA	Escherichia coli	quinolone	10119	49538	1.75
DEU	Escherichia coli	quinolone	6057	27995	1.404
GRC	Escherichia coli	quinolone	1917	6341	2.464
HUN	Escherichia coli	quinolone	2298	7673	2.2119999999999997
ISL	Escherichia coli	quinolone	70	674	0.905
IRL	Escherichia coli	quinolone	3032	12345	0.89
ITA	Escherichia coli	quinolone	7932	17984	3.386
LVA	Escherichia coli	quinolone	166	792	0.998
LTU	Escherichia coli	quinolone	412	2445	0.9025
LUX	Escherichia coli	quinolone	432	1697	2.664
MLT	Escherichia coli	quinolone	391	1176	2.5140000000000002
NLD	Escherichia coli	quinolone	3819	25677	0.788
NOR	Escherichia coli	quinolone	1721	15036	0.522
POL	Escherichia coli	quinolone	1742	5837	1.244
PRT	Escherichia coli	quinolone	5360	17158	2.302
SVK	Escherichia coli	quinolone	1739	4023	1.8025
SVN	Escherichia coli	quinolone	1338	5935	1.106
ESP	Escherichia coli	quinolone	10135	29479	2.382
SWE	Escherichia coli	quinolone	3556	28661	0.73
GBR	Escherichia coli	quinolone	5351	31536	0.456
AUT	Streptococcus pneumoniae	beta_lactam	79	1886	8.283999999999999
BEL	Streptococcus pneumoniae	beta_lactam	88	7494	18.092
BGR	Streptococcus pneumoniae	beta_lactam	35	149	11.241999999999999
HRV	Streptococcus pneumoniae	beta_lactam	133	593	14.108
CZE	Streptococcus pneumoniae	beta_lactam	52	1481	9.676
DNK	Streptococcus pneumoniae	beta_lactam	214	4008	10.634
EST	Streptococcus pneumoniae	beta_lactam	7	273	5.686
FIN	Streptococcus pneumoniae	beta_lactam	422	3074	8.658
FRA	Streptococcus pneumoniae	beta_lactam	1127	4880	20.094
DEU	Streptococcus pneumoniae	beta_lactam	122	2356	7.436
HUN	Streptococcus pneumoniae	beta_lactam	69	762	8.728
ISL	Streptococcus pneumoniae	beta_lactam	15	127	11.06
IRL	Streptococcus pneumoniae	beta_lactam	298	1584	14.52
ITA	Streptococcus pneumoniae	beta_lactam	144	1155	18.072
LVA	Streptococcus pneumoniae	beta_lactam	24	278	6.798
LTU	Streptococcus pneumoniae	beta_lactam	54	298	10.665
LUX	Streptococcus pneumoniae	beta_lactam	15	184	17.074
MLT	Streptococcus pneumoniae	beta_lactam	25	62	14.49
NLD	Streptococcus pneumoniae	beta_lactam	84	5464	4.44
NOR	Streptococcus pneumoniae	beta_lactam	123	2707	6.722
POL	Streptococcus pneumoniae	beta_lactam	203	800	12.466
PRT	Streptococcus pneumoniae	beta_lactam	258	2620	13.446
SVK	Streptococcus pneumoniae	beta_lactam	18	130	12.745
SVN	Streptococcus pneumoniae	beta_lactam	136	1406	9.944
ESP	Streptococcus pneumoniae	beta_lactam	866	3125	14.904
SWE	Streptococcus pneumoniae	beta_lactam	228	3825	7.0675
GBR	Streptococcus pneumoniae	beta_lactam	339	6067	9.408
AUT	Streptococcus pneumoniae	macrolide	223	1952	2.532
BEL	Streptococcus pneumoniae	macrolide	1711	7534	3.06
BGR	Streptococcus pneumoniae	macrolide	28	140	2.798
HRV	Streptococcus pneumoniae	macrolide	145	578	2.644
CZE	Streptococcus pneumoniae	macrolide	101	1481	3.46
DNK	Streptococcus pneumoniae	macrolide	222	4008	2.036
EST	Streptococcus pneumoniae	macrolide	13	264	2.2960000000000003
FIN	Streptococcus pneumoniae	macrolide	609	3282	1.1300000000000001
FRA	Streptococcus pneumoniae	macrolide	1292	4880	2.396
DEU	Streptococcus pneumoniae	macrolide	197	2376	1.9
HUN	Streptococcus pneumoniae	macrolide	105	708	2.414
ISL	Streptococcus pneumoniae	macrolide	18	126	1.5
IRL	Streptococcus pneumoniae	macrolide	254	1535	4.174
ITA	Streptococcus pneumoniae	macrolide	430	1583	4.708
LVA	Streptococcus pneumoniae	macrolide	10	237	1.496
LTU	Streptococcus pneumoniae	macrolide	57	266	1.985
LUX	Streptococcus pneumoniae	macrolide	32	174	3.398
MLT	Streptococcus pneumoniae	macrolide	24	62	3.652
NLD	Streptococcus pneumoniae	macrolide	260	5963	1.256
NOR	Streptococcus pneumoniae	macrolide	154	2497	1.44
POL	Streptococcus pneumoniae	macrolide	211	714	3.222
PRT	Streptococcus pneumoniae	macrolide	466	2701	3
SVK	Streptococcus pneumoniae	macrolide	38	139	5.215
SVN	Streptococcus pneumoniae	macrolide	263	1404	1.624
ESP	Streptococcus pneumoniae	macrolide	739	3060	1.942
SWE	Streptococcus pneumoniae	macrolide	287	4798	0.295
GBR	Streptococcus pneumoniae	macrolide	388	5649	3.042
