year	country	bug	drug	metric	value
2012	Austria	Acinetobacter spp.	Aminoglycosides	n_ns	0
2012	Belgium	Acinetobacter spp.	Aminoglycosides	n_ns	0
2012	Bulgaria	Acinetobacter spp.	Aminoglycosides	n_ns	44
2012	Cyprus	Acinetobacter spp.	Aminoglycosides	n_ns	12
2012	Czech Republic	Acinetobacter spp.	Aminoglycosides	n_ns	0
2012	Germany	Acinetobacter spp.	Aminoglycosides	n_ns	7
2012	Denmark	Acinetobacter spp.	Aminoglycosides	n_ns	8
2012	Estonia	Acinetobacter spp.	Aminoglycosides	n_ns	0
2012	Greece	Acinetobacter spp.	Aminoglycosides	n_ns	1082
2012	Spain	Acinetobacter spp.	Aminoglycosides	n_ns	0
2012	Finland	Acinetobacter spp.	Aminoglycosides	n_ns	0
2012	France	Acinetobacter spp.	Aminoglycosides	n_ns	36
2012	Croatia	Acinetobacter spp.	Aminoglycosides	n_ns	0
2012	Hungary	Acinetobacter spp.	Aminoglycosides	n_ns	280
2012	Ireland	Acinetobacter spp.	Aminoglycosides	n_ns	0
2012	Iceland	Acinetobacter spp.	Aminoglycosides	n_ns	0
2012	Italy	Acinetobacter spp.	Aminoglycosides	n_ns	195
2012	Lithuania	Acinetobacter spp.	Aminoglycosides	n_ns	0
2012	Luxembourg	Acinetobacter spp.	Aminoglycosides	n_ns	0
2012	Latvia	Acinetobacter spp.	Aminoglycosides	n_ns	0
2012	Malta	Acinetobacter spp.	Aminoglycosides	n_ns	0
2012	Netherlands	Acinetobacter spp.	Aminoglycosides	n_ns	3
2012	Norway	Acinetobacter spp.	Aminoglycosides	n_ns	1
2012	Poland	Acinetobacter spp.	Aminoglycosides	n_ns	148
2012	Portugal	Acinetobacter spp.	Aminoglycosides	n_ns	114
2012	Romania	Acinetobacter spp.	Aminoglycosides	n_ns	40
2012	Sweden	Acinetobacter spp.	Aminoglycosides	n_ns	0
2012	Slovenia	Acinetobacter spp.	Aminoglycosides	n_ns	5
2012	Slovakia	Acinetobacter spp.	Aminoglycosides	n_ns	0
2012	United Kingdom	Acinetobacter spp.	Aminoglycosides	n_ns	4
2013	Austria	Acinetobacter spp.	Aminoglycosides	n_ns	5
2013	Belgium	Acinetobacter spp.	Aminoglycosides	n_ns	0
2013	Bulgaria	Acinetobacter spp.	Aminoglycosides	n_ns	62
