year	toc	abx	abx_desc	abx_atc	country	did
1997	AC	J01	Antibacterials for systemic use	J01	Belgium	25.4
1997	AC	J01	Antibacterials for systemic use	J01	Denmark	12.2
1997	AC	J01	Antibacterials for systemic use	J01	Finland	19.4
1997	AC	J01	Antibacterials for systemic use	J01	France	33.1
1997	AC	J01	Antibacterials for systemic use	J01	Germany	13
1997	AC	J01	Antibacterials for systemic use	J01	Greece	25.1
1997	AC	J01	Antibacterials for systemic use	J01	Luxembourg	27.2
1997	AC	J01	Antibacterials for systemic use	J01	Netherlands	10.1
1997	AC	J01	Antibacterials for systemic use	J01	Portugal	23.1
1997	AC	J01	Antibacterials for systemic use	J01	Slovenia	17.5
1997	AC	J01	Antibacterials for systemic use	J01	Spain	21.3
1997	AC	J01	Antibacterials for systemic use	J01	Sweden	14.6
1997	AC	J01	Antibacterials for systemic use	J01	United Kingdom	17
1997	AC	J	Antiinfectives for systemic use	J	Belgium	25.4
1997	AC	J	Antiinfectives for systemic use	J	Denmark	12.2
1997	AC	J	Antiinfectives for systemic use	J	Finland	19.4
1997	AC	J	Antiinfectives for systemic use	J	France	33.1
1997	AC	J	Antiinfectives for systemic use	J	Germany	13
1997	AC	J	Antiinfectives for systemic use	J	Greece	25.1
1997	AC	J	Antiinfectives for systemic use	J	Luxembourg	27.2
1997	AC	J	Antiinfectives for systemic use	J	Netherlands	10.1
1997	AC	J	Antiinfectives for systemic use	J	Portugal	23.1
1997	AC	J	Antiinfectives for systemic use	J	Slovenia	17.5
1997	AC	J	Antiinfectives for systemic use	J	Spain	21.3
1997	AC	J	Antiinfectives for systemic use	J	Sweden	14.6
1997	AC	J	Antiinfectives for systemic use	J	United Kingdom	17
1997	AC	J01A	Tetracyclines	J01A	Belgium	4.41
1997	AC	J01A	Tetracyclines	J01A	Denmark	0.98
1997	AC	J01A	Tetracyclines	J01A	Finland	4.9
1997	AC	J01A	Tetracyclines	J01A	France	2.99
1997	AC	J01A	Tetracyclines	J01A	Germany	3.09
1997	AC	J01A	Tetracyclines	J01A	Greece	2.73
1997	AC	J01A	Tetracyclines	J01A	Luxembourg	4.04
1997	AC	J01A	Tetracyclines	J01A	Netherlands	2.64
1997	AC	J01A	Tetracyclines	J01A	Portugal	1.97
1997	AC	J01A	Tetracyclines	J01A	Slovenia	0.93
1997	AC	J01A	Tetracyclines	J01A	Spain	0.82
1997	AC	J01A	Tetracyclines	J01A	Sweden	2.97
1997	AC	J01A	Tetracyclines	J01A	United Kingdom	3.45
1997	AC	J01AA	Tetracyclines	J01AA	Belgium	4.41
1997	AC	J01AA	Tetracyclines	J01AA	Denmark	0.98
1997	AC	J01AA	Tetracyclines	J01AA	Finland	4.9
1997	AC	J01AA	Tetracyclines	J01AA	France	2.99
1997	AC	J01AA	Tetracyclines	J01AA	Germany	3.09
1997	AC	J01AA	Tetracyclines	J01AA	Greece	2.73
1997	AC	J01AA	Tetracyclines	J01AA	Luxembourg	4.04
1997	AC	J01AA	Tetracyclines	J01AA	Netherlands	2.64
1997	AC	J01AA	Tetracyclines	J01AA	Portugal	1.97
1997	AC	J01AA	Tetracyclines	J01AA	Slovenia	0.93
1997	AC	J01AA	Tetracyclines	J01AA	Spain	0.82
1997	AC	J01AA	Tetracyclines	J01AA	Sweden	2.97
1997	AC	J01AA	Tetracyclines	J01AA	United Kingdom	3.45
1997	AC	J01B	Amphenicols	J01B	Belgium	0.0351
1997	AC	J01B	Amphenicols	J01B	Denmark	1e-4
1997	AC	J01B	Amphenicols	J01B	France	0.002
1997	AC	J01B	Amphenicols	J01B	Greece	0.0071
1997	AC	J01B	Amphenicols	J01B	Luxembourg	4e-4
1997	AC	J01B	Amphenicols	J01B	Portugal	9e-4
1997	AC	J01B	Amphenicols	J01B	Spain	0.0143
1997	AC	J01B	Amphenicols	J01B	Sweden	1e-4
1997	AC	J01B	Amphenicols	J01B	United Kingdom	2e-4
1997	AC	J01BA	Amphenicols	J01BA	Belgium	0.0351
1997	AC	J01BA	Amphenicols	J01BA	Denmark	1e-4
1997	AC	J01BA	Amphenicols	J01BA	France	0.002
1997	AC	J01BA	Amphenicols	J01BA	Greece	0.0071
1997	AC	J01BA	Amphenicols	J01BA	Luxembourg	4e-4
1997	AC	J01BA	Amphenicols	J01BA	Portugal	9e-4
1997	AC	J01BA	Amphenicols	J01BA	Spain	0.0143
1997	AC	J01BA	Amphenicols	J01BA	Sweden	1e-4
1997	AC	J01BA	Amphenicols	J01BA	United Kingdom	2e-4
1997	AC	J01C	Beta-lactam antibacterials, penicillins	J01C	Belgium	9.4
1997	AC	J01C	Beta-lactam antibacterials, penicillins	J01C	Denmark	7.3
1997	AC	J01C	Beta-lactam antibacterials, penicillins	J01C	Finland	5.9
1997	AC	J01C	Beta-lactam antibacterials, penicillins	J01C	France	17.1
1997	AC	J01C	Beta-lactam antibacterials, penicillins	J01C	Germany	4.2
1997	AC	J01C	Beta-lactam antibacterials, penicillins	J01C	Greece	9.4
1997	AC	J01C	Beta-lactam antibacterials, penicillins	J01C	Luxembourg	9.3
1997	AC	J01C	Beta-lactam antibacterials, penicillins	J01C	Netherlands	3.9
1997	AC	J01C	Beta-lactam antibacterials, penicillins	J01C	Portugal	10.1
1997	AC	J01C	Beta-lactam antibacterials, penicillins	J01C	Slovenia	10
1997	AC	J01C	Beta-lactam antibacterials, penicillins	J01C	Spain	11.5
1997	AC	J01C	Beta-lactam antibacterials, penicillins	J01C	Sweden	7.2
1997	AC	J01C	Beta-lactam antibacterials, penicillins	J01C	United Kingdom	7.8
1997	AC	J01CA	Penicillins with extended spectrum	J01CA	Belgium	4
1997	AC	J01CA	Penicillins with extended spectrum	J01CA	Denmark	2.4
1997	AC	J01CA	Penicillins with extended spectrum	J01CA	Finland	3.1
1997	AC	J01CA	Penicillins with extended spectrum	J01CA	France	12.4
1997	AC	J01CA	Penicillins with extended spectrum	J01CA	Germany	2.3
1997	AC	J01CA	Penicillins with extended spectrum	J01CA	Greece	6.5
1997	AC	J01CA	Penicillins with extended spectrum	J01CA	Luxembourg	4.7
1997	AC	J01CA	Penicillins with extended spectrum	J01CA	Netherlands	2.2
1997	AC	J01CA	Penicillins with extended spectrum	J01CA	Portugal	5.5
1997	AC	J01CA	Penicillins with extended spectrum	J01CA	Slovenia	3.4
