province	n_isolates	n_isolates_pediatric	pct_res_erythro	pct_res_erythro_lci	pct_res_erythro_uci	pct_res_pen	pct_res_pen_lci	pct_res_pen_uci	did_macrolide_total	did_macrolide_tid	did_macrolide_bid	did_macrolide_od	did_bl_total	did_bl_aminopenicillin	did_bl_cephalosporin
Granada	39	15	41	27.7	55.4	66.6	52.3	73.4	3.38	1.02	1.83	0.52	16.3	11.83	3.82
Sevilla	49	6	32.6	21.6	45.2	42.8	30.8	55.5	2.58	0.91	1.21	0.46	14.12	9.95	3.28
Valencia	52	7	44.2	32.4	56.5	50	37.9	62.1	4.34	1.12	2.49	0.73	16.76	11.69	4.75
Zaragoza	61	2	47.5	36.5	58.7	68.8	57.7	78.5	4	1.35	1.86	0.8	15.32	11.23	3.51
Vizcaya	63	13	22.2	14.0	32.5	44.4	33.7	55.5	2.8	0.81	1.38	0.61	13.78	10.02	3.2
La Coruna	64	7	34.3	24.5	45.3	45.3	34.6	56.3	3.21	0.69	1.62	0.89	12.42	8.61	3.3
Murcia	73	12	56.1	45.8	66	64.4	54.1	73.7	3.91	1.01	2.04	0.86	18.25	12.93	4.64
Las Palmas	82	0	42.7	33.4	52.3	51.2	41.6	60.7	4.05	1.29	2	0.76	15.74	10.94	3.6
Salamanca	92	7	39.1	30.5	48.2	65.2	56.2	73.4	3.44	1.18	1.59	0.67	17.72	13.29	3.65
Cantabria	188	43	29.8	24.3	35.7	48.9	42.7	55.1	2.6	0.67	1.48	0.45	14.65	11.59	2.47
Barcelona	245	69	40.8	35.5	46.2	50.2	44.7	55.6	3.17	0.77	1.75	0.64	15.61	11.56	3.33
Madrid	252	60	31.7	26.9	36.9	49.6	44.2	54.9	2.58	0.97	1.04	0.58	13.76	10.83	2.07
Guipuzcoa	371	37	27.5	23.6	31.5	41.5	37.2	45.9	1.96	0.42	1.01	0.52	11.47	8.58	2.47
