province	n_isolates	pct_res_erythro	pct_res_pen	did_total	did_beta_lactams	did_macrolides
Vizcaya	149	29.5	28.9	1056.18	596.85	219.6
Navarra	225	39.1	36.4	1208.34	678.25	269
Madrid	677	38.1	45.9	1241.01	677.69	268.23
Santander	31	29	32.3	1262.6	702.06	255.75
Asturias	210	26.2	38.1	1284.48	684.74	304.69
Pontevedra	54	35.2	40.7	1328.38	676.9	298.79
Barcelona	755	31.3	39.6	1420.58	804.06	282.53
Zaragoza	199	51.3	48.2	1441.92	729	355.72
Leon	43	39.5	51.2	1472.99	792.57	338.68
Tarragona	128	48.4	48.4	1473.56	847.02	282.99
Zamora	40	32.5	40	1552.13	860.61	322.6
Tenerife	45	42.2	42.2	1653.99	812.13	365.53
Las Palmas	33	42.4	45.5	1712.03	830.36	351.66
Murcia	105	48.6	56.2	1740.03	912.94	418.87
