country	year	did
Spain	2000	2.98778330529462
France	2000	1.9918555368630848
Portugal	2000	4.125733759810542
Belgium	2000	3.1298059913790013
Greece	2000	2.1338782229474607
Ireland	2000	0.9959277684315424
United Kingdom	2000	0
Finland	2000	0.8536523729413212
Austria	2000	0.9959277684315402
Switzerland	2000	1.8495801413728619
Germany	2000	1.13820316392176
Sweden	2000	1.2804785594119812
Norway	2000	0
Denmark	2000	0
Spain	1997	3.322033898305083
France	1997	2.0169491525423737
Portugal	1997	4.033551392605812
Belgium	1997	2.2542372881355917
Greece	1997	1.1864406779661003
Ireland	1997	0
United Kingdom	1997	1.1864406779661003
Finland	1997	0.9491525423728824
Austria	1997	1.3050847457627057
Switzerland	1997	1.0676231539300218
Germany	1997	1.0676231539300218
Sweden	1997	1.067796610169495
Norway	1997	0
Denmark	1997	0
