unit	bugdrug	use	f_resistant
AK	Ec/q	0.06773170145663905	0.16287183002056202
AZ	Sp/m	0.1777304895996124	0.46045454545454545
AZ	Ec/q	0.08632071034640013	0.25536648648648647
CA	Sp/m	0.12091285681766895	0.28763826606875936
CA	Ec/q	0.06435524560837466	0.22881337706328297
CO	Sp/m	0.14604209120345654	0.3790501792114695
CO	Ec/q	0.06777231245452618	0.11559586026681337
CT	Sp/m	0.13583246412208674	0.43021739130434783
CT	Ec/q	0.06896082300933136	0.2035949982632859
DE	Sp/m	0.21448271084547152	0.42000000000000004
DE	Ec/q	0.11687855291345618	0.19999999999999996
FL	Sp/m	0.17573818103023103	0.4428358208955224
FL	Ec/q	0.09235721991195468	0.46307429596827876
GA	Sp/m	0.20664982053429662	0.43038
GA	Ec/q	0.11160705136977328	0.27516053748231967
HI	Sp/m	0.11449165451959435	0.3532671232876713
HI	Ec/q	0.07248429832477124	0.19623723059673598
ID	Sp/m	0.13800892666080114	0.13857142857142857
ID	Ec/q	0.06955418823411305	0.11650755318055697
IL	Sp/m	0.1852796088091632	0.4815384615384615
IL	Ec/q	0.08372956347031109	0.20269141907502733
IN	Sp/m	0.15184380771606792	0.33779026217228464
IN	Ec/q	0.07199931643369029	0.1814812547819434
IA	Sp/m	0.17478039159043385	0.632051282051282
IA	Ec/q	0.07802907450253758	0.22931800618238019
KS	Sp/m	0.18107759447451846	0.48256410256410265
KS	Ec/q	0.08659285029566885	0.23974764967837703
KY	Sp/m	0.2383359389807231	0.5409129759129759
KY	Ec/q	0.12059710994228776	0.2554834294763036
LA	Sp/m	0.22745191701078507	0.724218009478673
LA	Ec/q	0.10111254547772376	0.32859502780503763
ME	Sp/m	0.16238019315901542	0.40673202614379084
ME	Ec/q	0.06845461508924258	0.13884134033104564
MD	Sp/m	0.1720107745490107	0.31319148936170216
MD	Ec/q	0.0917461906545105	0.3043247551810521
MA	Sp/m	0.13177721514807514	0.40418224299065425
MA	Ec/q	0.06661115353688662	0.1615154291224687
MI	Sp/m	0.2081663524943435	0.4051153846153846
MI	Ec/q	0.08898010328365902	0.19490580201472296
MN	Sp/m	0.13457265162976678	0.40308649657747353
MN	Ec/q	0.05898324668927246	0.15272798236752685
MS	Sp/m	0.2773552556310124	0.5883653846153847
MS	Ec/q	0.13285411439509082	0.3247836706210747
MO	Sp/m	0.19674181726617576	0.501140350877193
MO	Ec/q	0.09371721251483958	0.16329106837043866
MT	Sp/m	0.13010650205711233	0.3967879746835443
MT	Ec/q	0.05417412361604696	0.16624403890646397
NE	Sp/m	0.16402000918093218	0.46644444444444444
NE	Ec/q	0.08271323625699213	0.22687796559905096
NV	Sp/m	0.16640875751982886	0.2580757097791798
NV	Ec/q	0.08382118596567945	0.2118399841437632
NJ	Ec/q	0.09775061403910044	0.17000000000000004
NM	Ec/q	0.05909037209286054	0.17000000000000004
NY	Sp/m	0.1740251728702283	0.3982026302971262
NY	Ec/q	0.09314721655412624	0.18459354558532148
NC	Sp/m	0.1884267147080616	0.42974264705882353
NC	Ec/q	0.10453676193000032	0.19433784562211978
OH	Sp/m	0.17576243504490013	0.43857142857142856
OH	Ec/q	0.08013280756929902	0.5075766271712218
OK	Sp/m	0.22390562528506036	0.4670031055900621
OK	Ec/q	0.11301886190861543	0.2258497741858807
OR	Sp/m	0.11791901794481269	0.3326262626262626
OR	Ec/q	0.05941978236346522	0.170762939453125
PA	Ec/q	0.0799477131083065	0.20031380356465683
SC	Ec/q	0.08761667186918637	0.245
SD	Sp/m	0.18215173703906606	0.5410867924528302
SD	Ec/q	0.07861611261212753	0.1710872389999104
TN	Sp/m	0.25423940334602424	0.5258536585365854
TN	Ec/q	0.1311990118578475	0.34957711895234633
TX	Sp/m	0.22747474255641467	0.48063179347826085
TX	Ec/q	0.11682069986566426	0.24258061325420377
UT	Sp/m	0.1588498506513687	0.3120726172465961
UT	Ec/q	0.07704972743155714	0.13193811494671095
VT	Ec/q	0.05491366563248812	0.11
VA	Sp/m	0.18569930457898826	0.44685393258426964
VA	Ec/q	0.09169978883568833	0.18227380820705674
WA	Sp/m	0.14247926362324467	0.2964985994397759
WA	Ec/q	0.06580560878253207	0.16396168064136993
WI	Sp/m	0.12907586316270203	0.5082242990654207
WI	Ec/q	0.06056864369705503	0.17789796665196628
WY	Sp/m	0.1803130552099068	0.35
WY	Ec/q	0.06996607340009615	0.19999999999999996
