bug	drug_group	hrr	f_ns
A. baumannii	beta_lactam	12	0.42000000000000004
A. baumannii	beta_lactam	15	0.609375
A. baumannii	beta_lactam	56	0.5258695652173914
A. baumannii	beta_lactam	65	0.08999999999999997
A. baumannii	beta_lactam	73	0.7250000000000001
A. baumannii	beta_lactam	81	0.21042857142857144
A. baumannii	beta_lactam	85	0.3102564102564102
A. baumannii	beta_lactam	103	0.040000000000000036
A. baumannii	beta_lactam	104	0.49499999999999994
A. baumannii	beta_lactam	109	0.5494871794871795
A. baumannii	beta_lactam	111	0.12115384615384617
A. baumannii	beta_lactam	112	0.135
A. baumannii	beta_lactam	113	0.557578947368421
A. baumannii	beta_lactam	127	0.43773901808785526
A. baumannii	beta_lactam	130	0.3933333333333333
A. baumannii	beta_lactam	140	0.61
A. baumannii	beta_lactam	144	0.22750000000000004
A. baumannii	beta_lactam	145	0.12438818565400844
A. baumannii	beta_lactam	148	0.82
A. baumannii	beta_lactam	151	0.22
A. baumannii	beta_lactam	156	0.21500000000000002
A. baumannii	beta_lactam	192	0.2035
A. baumannii	beta_lactam	204	0.48126436781609194
A. baumannii	beta_lactam	205	0.5463470319634703
A. baumannii	beta_lactam	216	0.67
A. baumannii	beta_lactam	219	0.4314
A. baumannii	beta_lactam	221	0.040000000000000036
A. baumannii	beta_lactam	222	0.15000000000000002
A. baumannii	beta_lactam	223	0.41
A. baumannii	beta_lactam	240	0.28106382978723404
A. baumannii	beta_lactam	248	0.059346405228758184
A. baumannii	beta_lactam	251	0.2509638554216867
A. baumannii	beta_lactam	259	0.4678
A. baumannii	beta_lactam	268	0
A. baumannii	beta_lactam	273	0.8857635467980296
A. baumannii	beta_lactam	278	0.18999999999999995
A. baumannii	beta_lactam	280	0.23837209302325582
A. baumannii	beta_lactam	299	0.2883406113537118
A. baumannii	beta_lactam	301	0.635
A. baumannii	beta_lactam	303	0.42971671388101984
A. baumannii	beta_lactam	304	0.30000000000000004
A. baumannii	beta_lactam	307	0.9366666666666666
A. baumannii	beta_lactam	308	0.28
A. baumannii	beta_lactam	312	0.16696652719665273
A. baumannii	beta_lactam	318	0.1630201342281879
A. baumannii	beta_lactam	325	0.3933333333333333
A. baumannii	beta_lactam	327	0.5766666666666667
A. baumannii	beta_lactam	328	0.5105731707317074
A. baumannii	beta_lactam	329	0.2718181818181818
A. baumannii	beta_lactam	330	0.41694444444444445
A. baumannii	beta_lactam	334	0.1325531914893617
A. baumannii	beta_lactam	340	0.7766985645933013
A. baumannii	beta_lactam	344	0.23840375586854462
A. baumannii	beta_lactam	356	0.1829268292682927
A. baumannii	beta_lactam	377	0.4758490566037736
A. baumannii	beta_lactam	380	0.99
A. baumannii	beta_lactam	385	0.62
A. baumannii	beta_lactam	397	0.28206349206349207
A. baumannii	beta_lactam	399	0.5891935483870968
A. baumannii	beta_lactam	412	0.9050000000000001
A. baumannii	beta_lactam	421	0.59
A. baumannii	beta_lactam	422	0.16618181818181818
A. baumannii	beta_lactam	423	0.40374137931034487
A. baumannii	beta_lactam	424	0.020000000000000018
A. baumannii	beta_lactam	427	0.2671428571428572
A. baumannii	beta_lactam	430	0.07407407407407407
A. baumannii	beta_lactam	437	0.242803738317757
A. baumannii	beta_lactam	439	0.36320292123109027
A. baumannii	beta_lactam	441	0
A. baumannii	beta_lactam	447	0
A. baumannii	beta_lactam	450	0.18
A. baumannii	cephalosporin	12	0.6552252252252253
A. baumannii	cephalosporin	15	0.561875
A. baumannii	cephalosporin	56	0.4897826086956522
A. baumannii	cephalosporin	65	0.22075000000000006
A. baumannii	cephalosporin	73	0.7366666666666667
A. baumannii	cephalosporin	81	0.25493197278911567
A. baumannii	cephalosporin	85	0.38567796610169497
A. baumannii	cephalosporin	103	0.26
A. baumannii	cephalosporin	104	0.6799999999999999
A. baumannii	cephalosporin	105	0.31
A. baumannii	cephalosporin	109	0.7924358974358974
A. baumannii	cephalosporin	110	0.565
A. baumannii	cephalosporin	111	0.2828205128205128
A. baumannii	cephalosporin	112	0.5499999999999999
A. baumannii	cephalosporin	113	0.6617368421052632
A. baumannii	cephalosporin	127	0.6173752399232245
A. baumannii	cephalosporin	130	0.6866666666666668
A. baumannii	cephalosporin	140	0.7775
A. baumannii	cephalosporin	144	0.43625
A. baumannii	cephalosporin	145	0.35637130801687766
A. baumannii	cephalosporin	148	0.82
A. baumannii	cephalosporin	150	0.21441611234294158
A. baumannii	cephalosporin	151	0.23666666666666672
A. baumannii	cephalosporin	156	0.19999999999999996
A. baumannii	cephalosporin	192	0.49812500000000004
A. baumannii	cephalosporin	204	0.5505820105820106
A. baumannii	cephalosporin	205	0.6222602739726028
A. baumannii	cephalosporin	216	0.805
A. baumannii	cephalosporin	218	0.6148130841121495
