bug	drug_group	state	f_ns
A. baumannii	beta_lactam	Arizona	0.48586956521739133
A. baumannii	beta_lactam	California	0.36084051724137933
A. baumannii	beta_lactam	Colorado	0.040000000000000036
A. baumannii	beta_lactam	Connecticut	0.33532051282051284
A. baumannii	beta_lactam	Delaware	0.135
A. baumannii	beta_lactam	Florida	0.43651172529313237
A. baumannii	beta_lactam	Georgia	0.2380392156862745
A. baumannii	beta_lactam	Idaho	0.22
A. baumannii	beta_lactam	Illinois	0.21500000000000002
A. baumannii	beta_lactam	Indiana	0.14
A. baumannii	beta_lactam	Iowa	0.2035
A. baumannii	beta_lactam	Kentucky	0.5417343649258543
A. baumannii	beta_lactam	Louisiana	0.4530909090909091
A. baumannii	beta_lactam	Maine	0.062000000000000034
A. baumannii	beta_lactam	Maryland	0.5410280373831775
A. baumannii	beta_lactam	Michigan	0.11145
A. baumannii	beta_lactam	Minnesota	0.2509638554216867
A. baumannii	beta_lactam	Mississippi	0.4678
A. baumannii	beta_lactam	Missouri	0.6033892617449664
A. baumannii	beta_lactam	Nebraska	0.18999999999999995
A. baumannii	beta_lactam	Nevada	0.23837209302325582
A. baumannii	beta_lactam	New York	0.4201425438596491
A. baumannii	beta_lactam	North Carolina	0.16545103092783503
A. baumannii	beta_lactam	Ohio	0.4883441181350589
A. baumannii	beta_lactam	Oklahoma	0.7766985645933013
A. baumannii	beta_lactam	Pennsylvania	0.1829268292682927
A. baumannii	beta_lactam	Tennessee	0.846578947368421
A. baumannii	beta_lactam	Texas	0.4767647058823529
A. baumannii	beta_lactam	Utah	0.37610289389067525
A. baumannii	beta_lactam	Vermont	0.020000000000000018
A. baumannii	beta_lactam	Virginia	0.17236363636363636
A. baumannii	beta_lactam	Washington	0.27453037037037037
A. baumannii	beta_lactam	Wisconsin	0.14926829268292682
A. baumannii	beta_lactam	Wyoming	0.49499999999999994
A. baumannii	cephalosporin	Arizona	0.6343356643356644
A. baumannii	cephalosporin	California	0.36328299776286355
