state	drug_group	total_use	first_use	repeat_use
Alabama	beta_lactam	0.2514383741976521	0.1751493667773867	0.07628900742026534
Alabama	cephalosporin	0.1543516098246518	0.11448924380290693	0.039862366021744866
Alabama	macrolide	0.26047672217032003	0.1843983249233391	0.07607839724698098
Alabama	nitrofurantoin	0.02573547633835877	0.0174235864918608	0.008311889846497972
Alabama	overall	0.9982967503473303	0.43005315437481106	0.5682435959725192
Alabama	quinolone	0.14543070140573244	0.10475360097237355	0.04067710043335889
Alabama	tetracycline	0.08030906376621556	0.04763572302619381	0.032673340740021754
Alabama	tmpsmx	0.08055480264439961	0.061503013948331624	0.019051788696067988
Alaska	beta_lactam	0.14200183975522723	0.10796633971148158	0.034035500043745656
Alaska	cephalosporin	0.060064177369124075	0.04840487042964424	0.011659306939479834
Alaska	macrolide	0.1466050343485592	0.11035183041650252	0.036253203932056666
Alaska	nitrofurantoin	0.01788138371000385	0.013407893921899068	0.004473489788104782
Alaska	overall	0.517434252683855	0.2746095001095197	0.24282475257433528
Alaska	quinolone	0.06773170145663905	0.052712878554550056	0.015018822902088998
Alaska	tetracycline	0.0468971102029134	0.02224778083077871	0.024649329372134685
Alaska	tmpsmx	0.0362530058413882	0.028709537858871613	0.007543467982516586
Arizona	beta_lactam	0.22866795763821857	0.16583733469946854	0.06283062293875001
Arizona	cephalosporin	0.09335190637814392	0.07323539471233975	0.020116511665804172
Arizona	macrolide	0.1777304895996124	0.13279901546788697	0.044931474131725435
Arizona	nitrofurantoin	0.020263205082674953	0.014759076515414953	0.005504128567259999
Arizona	overall	0.7075674805729284	0.3501774628174159	0.3573900177555126
Arizona	quinolone	0.08632071034640013	0.06623520476506206	0.020085505581338054
Arizona	tetracycline	0.06203238261123943	0.02938113932328516	0.03265124328795427
Arizona	tmpsmx	0.03920082891663906	0.029531132720636958	0.009669696196002105
Arkansas	beta_lactam	0.22058627465300681	0.15537465496537992	0.0652116196876269
Arkansas	cephalosporin	0.13092179627676662	0.0967453995719438	0.03417639670482281
Arkansas	macrolide	0.21214944462893393	0.15206559729955646	0.06008384732937748
Arkansas	nitrofurantoin	0.018360336224448794	0.012624294427594596	0.005736041796854199
Arkansas	overall	0.8285804634112498	0.3752239995368551	0.45335646387439466
Arkansas	quinolone	0.1038947357986712	0.07669668735571925	0.027198048442951955
Arkansas	tetracycline	0.07446825613993346	0.04218335248113781	0.03228490365879565
Arkansas	tmpsmx	0.06819961968948896	0.05187741458381017	0.016322205105678788
California	beta_lactam	0.13670292019036812	0.10232819989240369	0.03437472029796444
California	cephalosporin	0.05521330284868782	0.044251877317912164	0.01096142553077566
California	macrolide	0.12091285681766895	0.09062419380419452	0.030288663013474416
California	nitrofurantoin	0.01590004878350636	0.011578647692727945	0.004321401090778415
California	overall	0.4749825447316889	0.24474793009736795	0.23023461463432096
California	quinolone	0.06435524560837466	0.049213593245645074	0.015141652362729588
California	tetracycline	0.04991470232562996	0.024440455471560058	0.025474246854069904
California	tmpsmx	0.03198346815745306	0.02416284699915631	0.007820621158296747
Colorado	beta_lactam	0.1911547143474141	0.14035489978970359	0.05079981455771051
Colorado	cephalosporin	0.08123915239686334	0.06406053886003188	0.01717861353683146
Colorado	macrolide	0.14604209120345654	0.10993557669935558	0.03610651450410094
Colorado	nitrofurantoin	0.019137663486582253	0.014103311093803299	0.005034352392778954
Colorado	overall	0.6036234161967713	0.3077020231086618	0.2959213930881095
Colorado	quinolone	0.06777231245452618	0.052302869462273596	0.015469442992252582
Colorado	tetracycline	0.06563794082563847	0.029949880874365214	0.035688059951273256
Colorado	tmpsmx	0.03263954148229037	0.023425827472533613	0.00921371400975676
Connecticut	beta_lactam	0.1550848835027858	0.11162818518467883	0.04345669831810697
Connecticut	cephalosporin	0.06584865240624994	0.05037679133406982	0.01547186107218012
Connecticut	macrolide	0.13583246412208674	0.09899166742875644	0.03684079669333032
Connecticut	nitrofurantoin	0.015438688097225518	0.010870835557479802	0.004567852539745716
Connecticut	overall	0.5314522543745069	0.26248257490853644	0.2689696794659705
Connecticut	quinolone	0.06896082300933136	0.052546274385097486	0.016414548624233867
Connecticut	tetracycline	0.06380303047732602	0.03150181498087451	0.032301215496451506
Connecticut	tmpsmx	0.02648371275950153	0.019156152246182716	0.007327560513318816
Delaware	beta_lactam	0.2870998711495214	0.19894131714855284	0.08815855400096854
Delaware	cephalosporin	0.1048409468726852	0.08052064560231117	0.024320301270374024
Delaware	macrolide	0.21448271084547152	0.15631287773013666	0.05816983311533485
Delaware	nitrofurantoin	0.0211791635539011	0.015956477492444603	0.005222686061456498
Delaware	overall	0.867656081142528	0.41508698129882315	0.4525690998437048
Delaware	quinolone	0.11687855291345618	0.08723543614325921	0.029643116770196976
Delaware	tetracycline	0.06732830347950387	0.037197254527646065	0.03013104895185781
Delaware	tmpsmx	0.055846532327988675	0.040808756052200516	0.015037776275788157
Florida	beta_lactam	0.17234219273706938	0.12731352733858406	0.04502866539848534
Florida	cephalosporin	0.06871946388170073	0.05428772867685363	0.014431735204847104
Florida	macrolide	0.17573818103023103	0.129482315831708	0.04625586519852305
Florida	nitrofurantoin	0.01551684115745001	0.011310442249065668	0.004206398908384342
Florida	overall	0.6211615621434133	0.3106182341329051	0.3105433280105082
Florida	quinolone	0.09235721991195468	0.07019962232783412	0.022157597584120562
Florida	tetracycline	0.058737423861554366	0.03211183054529144	0.026625593316262932
Florida	tmpsmx	0.037750239563453136	0.02883501042432211	0.008915229139131025
Georgia	beta_lactam	0.2292110294537949	0.16300068948583196	0.06621033996796297
Georgia	cephalosporin	0.10746857690736429	0.0818626026729597	0.025605974234404597
Georgia	macrolide	0.20664982053429662	0.15022797579594968	0.056421844738346945
Georgia	nitrofurantoin	0.0211893011672121	0.015354085267705063	0.005835215899507036
Georgia	overall	0.8083504641176366	0.37966965084955595	0.4286808132680806
Georgia	quinolone	0.11160705136977328	0.08351964797378794	0.02808740339598533
Georgia	tetracycline	0.07791165296950879	0.04221766479271009	0.03569398817679871
Georgia	tmpsmx	0.05431303171568658	0.04127095159941774	0.013042080116268836
Hawaii	beta_lactam	0.09875126663305071	0.07278620758633639	0.02596505904671434
Hawaii	cephalosporin	0.03876489780017527	0.03129444021688089	0.007470457583294384
Hawaii	macrolide	0.11449165451959435	0.0851835807085559	0.02930807381103845
Hawaii	nitrofurantoin	0.01452745852096806	0.009888780569352664	0.0046386779516153975
Hawaii	overall	0.40510167849142087	0.2058809647718069	0.19922071371961395
Hawaii	quinolone	0.07248429832477124	0.05358239074832244	0.0189019075764488
Hawaii	tetracycline	0.0378838296356983	0.02047188483082858	0.01741194480486972
Hawaii	tmpsmx	0.028198273057162902	0.02180939693549731	0.006388876121665591
Idaho	beta_lactam	0.1979974688637053	0.14443946420338613	0.05355800466031916
Idaho	cephalosporin	0.09118605157913272	0.07061990303508106	0.020566148544051664
Idaho	macrolide	0.13800892666080114	0.10458776180293072	0.033421164857870424
Idaho	nitrofurantoin	0.020400041222224385	0.013596139503889581	0.006803901718334807
Idaho	overall	0.6345108670856172	0.31509493094123114	0.319415936144386
Idaho	quinolone	0.06955418823411305	0.05265494066974066	0.0168992475643724
Idaho	tetracycline	0.07163748175291852	0.03238463088923211	0.03925285086368641
Idaho	tmpsmx	0.04572670877272202	0.032108392215621576	0.013618316557100447
Illinois	beta_lactam	0.22776766625217024	0.15725514837943047	0.07051251787273977
Illinois	cephalosporin	0.08029149402546903	0.06101853094219246	0.01927296308327658
Illinois	macrolide	0.1852796088091632	0.1330095065574697	0.0522701022516935
Illinois	nitrofurantoin	0.017041828435457918	0.012172036514825828	0.00486979192063209
Illinois	overall	0.7028253282941364	0.3353392042056661	0.36748612408847026
Illinois	quinolone	0.08372956347031109	0.06278695294294029	0.0209426105273708
Illinois	tetracycline	0.0659208451686831	0.02927866875995698	0.03664217640872612
Illinois	tmpsmx	0.04279432213288175	0.029156558915700907	0.013637763217180842
Indiana	beta_lactam	0.1825921897004022	0.1262198281374009	0.056372361563001315
Indiana	cephalosporin	0.10037719510452284	0.07381944388919315	0.026557751215329686
Indiana	macrolide	0.15184380771606792	0.10723266569839654	0.044611142017671385
Indiana	nitrofurantoin	0.013191257069584324	0.009105652145374815	0.004085604924209509
Indiana	overall	0.616979729711064	0.28253632917362836	0.33444340053743554
Indiana	quinolone	0.07199931643369029	0.053050366841635395	0.01894894959205489
Indiana	tetracycline	0.05455831668366466	0.027187567512397405	0.027370749171267257
Indiana	tmpsmx	0.04241764700313171	0.030257113559951098	0.012160533443180615
Iowa	beta_lactam	0.2070570991060583	0.14382303236502036	0.06323406674103794
Iowa	cephalosporin	0.10505917153333487	0.0785911203764367	0.026468051156898174
Iowa	macrolide	0.17478039159043385	0.1263299047241767	0.04845048686625712
Iowa	nitrofurantoin	0.014074934377557989	0.009782936097473348	0.004291998280084642
