Antibiotic_Class,Year,Location,Age_Group,Sex,Rate
Trimethoprim-sulfamethoxazole,2011,National,Combined Ages,Combined Gender,66.6990327126172
Trimethoprim-sulfamethoxazole,2011,National,Combined Ages,F,82.684293447781
Trimethoprim-sulfamethoxazole,2011,National,Combined Ages,M,48.9903257214429
Trimethoprim-sulfamethoxazole,2011,National,0-19,Combined Gender,58.3342021909634
Trimethoprim-sulfamethoxazole,2011,National,0-19,F,Insufficient Data
Trimethoprim-sulfamethoxazole,2011,National,0-19,M,Insufficient Data
Trimethoprim-sulfamethoxazole,2011,National,20+,Combined Gender,67.7777173048282
Trimethoprim-sulfamethoxazole,2011,National,20+,F,Insufficient Data
Trimethoprim-sulfamethoxazole,2011,National,20+,M,Insufficient Data
Trimethoprim-sulfamethoxazole,2012,National,Combined Ages,Combined Gender,67.832585667077
Trimethoprim-sulfamethoxazole,2012,National,Combined Ages,F,84.5549361132216
Trimethoprim-sulfamethoxazole,2012,National,Combined Ages,M,50.0353245350917
Trimethoprim-sulfamethoxazole,2012,National,0-19,Combined Gender,55.6517592041448
Trimethoprim-sulfamethoxazole,2012,National,0-19,F,Insufficient Data
Trimethoprim-sulfamethoxazole,2012,National,0-19,M,Insufficient Data
Trimethoprim-sulfamethoxazole,2012,National,20+,Combined Gender,70.7242046223654
Trimethoprim-sulfamethoxazole,2012,National,20+,F,Insufficient Data
Trimethoprim-sulfamethoxazole,2012,National,20+,M,Insufficient Data
Trimethoprim-sulfamethoxazole,2013,National,Combined Ages,Combined Gender,68.505383411658
Trimethoprim-sulfamethoxazole,2013,National,Combined Ages,F,85.2828570559911
Trimethoprim-sulfamethoxazole,2013,National,Combined Ages,M,50.6455482656316
Trimethoprim-sulfamethoxazole,2013,National,0-19,Combined Gender,53.5719358317733
Trimethoprim-sulfamethoxazole,2013,National,0-19,F,Insufficient Data
Trimethoprim-sulfamethoxazole,2013,National,0-19,M,Insufficient Data
Trimethoprim-sulfamethoxazole,2013,National,20+,Combined Gender,72.3662261317273
Trimethoprim-sulfamethoxazole,2013,National,20+,F,Insufficient Data
Trimethoprim-sulfamethoxazole,2013,National,20+,M,Insufficient Data
Trimethoprim-sulfamethoxazole,2014,National,Combined Ages,Combined Gender,66.0060346602384
Trimethoprim-sulfamethoxazole,2014,National,Combined Ages,F,82.3954082695817
Trimethoprim-sulfamethoxazole,2014,National,Combined Ages,M,48.5992716913537
Trimethoprim-sulfamethoxazole,2014,National,0-19,Combined Gender,47.7442467640271
Trimethoprim-sulfamethoxazole,2014,National,0-19,F,Insufficient Data
Trimethoprim-sulfamethoxazole,2014,National,0-19,M,Insufficient Data
Trimethoprim-sulfamethoxazole,2014,National,20+,Combined Gender,71.0654806133358
Trimethoprim-sulfamethoxazole,2014,National,20+,F,Insufficient Data
Trimethoprim-sulfamethoxazole,2014,National,20+,M,Insufficient Data
Urinary anti-infectives,2011,National,Combined Ages,Combined Gender,38.9416448647325
Urinary anti-infectives,2011,National,Combined Ages,F,67.9397188851506
Urinary anti-infectives,2011,National,Combined Ages,M,8.3617979846472
Urinary anti-infectives,2011,National,0-19,Combined Gender,10.1007978264183
Urinary anti-infectives,2011,National,0-19,F,Insufficient Data
Urinary anti-infectives,2011,National,0-19,M,Insufficient Data
Urinary anti-infectives,2011,National,20+,Combined Gender,48.1602040930761
Urinary anti-infectives,2011,National,20+,F,Insufficient Data
Urinary anti-infectives,2011,National,20+,M,Insufficient Data
Urinary anti-infectives,2012,National,Combined Ages,Combined Gender,39.9253367137259
Urinary anti-infectives,2012,National,Combined Ages,F,70.1652380676683
Urinary anti-infectives,2012,National,Combined Ages,M,8.38125859092873
Urinary anti-infectives,2012,National,0-19,Combined Gender,10.1155002226526
Urinary anti-infectives,2012,National,0-19,F,Insufficient Data
Urinary anti-infectives,2012,National,0-19,M,Insufficient Data
Urinary anti-infectives,2012,National,20+,Combined Gender,49.551192208469
Urinary anti-infectives,2012,National,20+,F,Insufficient Data
Urinary anti-infectives,2012,National,20+,M,Insufficient Data
Urinary anti-infectives,2013,National,Combined Ages,Combined Gender,39.3298029234782
Urinary anti-infectives,2013,National,Combined Ages,F,69.2589555026712
Urinary anti-infectives,2013,National,Combined Ages,M,8.11455412411864
Urinary anti-infectives,2013,National,0-19,Combined Gender,9.68669624397372
Urinary anti-infectives,2013,National,0-19,F,Insufficient Data
Urinary anti-infectives,2013,National,0-19,M,Insufficient Data
Urinary anti-infectives,2013,National,20+,Combined Gender,48.7906249527672
Urinary anti-infectives,2013,National,20+,F,Insufficient Data
Urinary anti-infectives,2013,National,20+,M,Insufficient Data
Urinary anti-infectives,2014,National,Combined Ages,Combined Gender,40.3623121640968
Urinary anti-infectives,2014,National,Combined Ages,F,71.3460525203354
Urinary anti-infectives,2014,National,Combined Ages,M,8.07593628625245
Urinary anti-infectives,2014,National,0-19,Combined Gender,10.0768317251763
Urinary anti-infectives,2014,National,0-19,F,Insufficient Data
Urinary anti-infectives,2014,National,0-19,M,Insufficient Data
Urinary anti-infectives,2014,National,20+,Combined Gender,49.9445659031683
Urinary anti-infectives,2014,National,20+,F,Insufficient Data
Urinary anti-infectives,2014,National,20+,M,Insufficient Data
Other,2011,National,Combined Ages,Combined Gender,1.75456488691806
Other,2011,National,Combined Ages,F,1.9132844511343
Other,2011,National,Combined Ages,M,1.56335229866325
Other,2011,National,0-19,Combined Gender,Insufficient Data
Other,2011,National,0-19,F,Insufficient Data
Other,2011,National,0-19,M,Insufficient Data
Other,2011,National,20+,Combined Gender,2.17485657703359
Other,2011,National,20+,F,Insufficient Data
Other,2011,National,20+,M,Insufficient Data
Other,2012,National,Combined Ages,Combined Gender,1.64174027717582
Other,2012,National,Combined Ages,F,1.82236372111264
Other,2012,National,Combined Ages,M,1.4405783065116
Other,2012,National,0-19,Combined Gender,Insufficient Data
Other,2012,National,0-19,F,Insufficient Data
Other,2012,National,0-19,M,Insufficient Data
Other,2012,National,20+,Combined Gender,2.05275260804149
Other,2012,National,20+,F,Insufficient Data
Other,2012,National,20+,M,Insufficient Data
Other,2013,National,Combined Ages,Combined Gender,1.67917347829167
Other,2013,National,Combined Ages,F,1.86677695212221
Other,2013,National,Combined Ages,M,1.47112063379329
Other,2013,National,0-19,Combined Gender,Insufficient Data
Other,2013,National,0-19,F,Insufficient Data
Other,2013,National,0-19,M,Insufficient Data
Other,2013,National,20+,Combined Gender,2.08886531162065
Other,2013,National,20+,F,Insufficient Data
Other,2013,National,20+,M,Insufficient Data
Other,2014,National,Combined Ages,Combined Gender,1.7170880170204
Other,2014,National,Combined Ages,F,1.91302675078921
Other,2014,National,Combined Ages,M,1.49957817011663
Other,2014,National,0-19,Combined Gender,Insufficient Data
Other,2014,National,0-19,F,Insufficient Data
Other,2014,National,0-19,M,Insufficient Data
Other,2014,National,20+,Combined Gender,2.11902458152358
Other,2014,National,20+,F,Insufficient Data
Other,2014,National,20+,M,Insufficient Data
Penicillins,2011,AK,Combined Ages,Combined Gender,129.006451952193
Penicillins,2011,AL,Combined Ages,Combined Gender,212.595287705697
Penicillins,2011,AR,Combined Ages,Combined Gender,223.552448076014
Penicillins,2011,AZ,Combined Ages,Combined Gender,172.981601506722
Penicillins,2011,CA,Combined Ages,Combined Gender,155.630665413919
Penicillins,2011,CO,Combined Ages,Combined Gender,163.643932674453
Penicillins,2011,CT,Combined Ages,Combined Gender,189.782341749998
Penicillins,2011,DC,Combined Ages,Combined Gender,234.514423131166
Penicillins,2011,DE,Combined Ages,Combined Gender,234.435515939676
Penicillins,2011,FL,Combined Ages,Combined Gender,151.773762161192
Penicillins,2011,GA,Combined Ages,Combined Gender,194.094962489815
Penicillins,2011,HI,Combined Ages,Combined Gender,154.557725697279
Penicillins,2011,IA,Combined Ages,Combined Gender,187.732291125596
Penicillins,2011,ID,Combined Ages,Combined Gender,171.385981638864
Penicillins,2011,IL,Combined Ages,Combined Gender,225.112315567826
Penicillins,2011,IN,Combined Ages,Combined Gender,246.207096995981
Penicillins,2011,KS,Combined Ages,Combined Gender,222.349725519301
Penicillins,2011,KY,Combined Ages,Combined Gender,283.321259449017
Penicillins,2011,LA,Combined Ages,Combined Gender,234.057138024447
Penicillins,2011,MA,Combined Ages,Combined Gender,212.711722298101
Penicillins,2011,MD,Combined Ages,Combined Gender,205.382552855299
Penicillins,2011,ME,Combined Ages,Combined Gender,173.858554291266
Penicillins,2011,MI,Combined Ages,Combined Gender,263.192744317984
Penicillins,2011,MN,Combined Ages,Combined Gender,186.036973199136
Penicillins,2011,MO,Combined Ages,Combined Gender,228.238117880847
Penicillins,2011,MS,Combined Ages,Combined Gender,221.180215708501
Penicillins,2011,MT,Combined Ages,Combined Gender,159.22932739678
Penicillins,2011,National,Combined Ages,Combined Gender,195.986805015809
Penicillins,2011,National,Combined Ages,F,213.99376231311
Penicillins,2011,National,Combined Ages,M,173.240720394396
Penicillins,2011,National,0-19,Combined Gender,318.455875415425
Penicillins,2011,National,0-19,F,Insufficient Data
Penicillins,2011,National,0-19,M,Insufficient Data
Penicillins,2011,National,20+,Combined Gender,145.636916669922
Penicillins,2011,National,20+,F,Insufficient Data
Penicillins,2011,National,20+,M,Insufficient Data
Penicillins,2011,NC,Combined Ages,Combined Gender,197.318300301865
Penicillins,2011,ND,Combined Ages,Combined Gender,206.703091754445
Penicillins,2011,NE,Combined Ages,Combined Gender,212.628626579063
Penicillins,2011,NH,Combined Ages,Combined Gender,174.264283151089
Penicillins,2011,NJ,Combined Ages,Combined Gender,210.963919718772
Penicillins,2011,NM,Combined Ages,Combined Gender,165.262559258125
Penicillins,2011,NV,Combined Ages,Combined Gender,160.704443412864
Penicillins,2011,NY,Combined Ages,Combined Gender,199.155782436446
Penicillins,2011,OH,Combined Ages,Combined Gender,215.494638821743
Penicillins,2011,OK,Combined Ages,Combined Gender,190.997795605315
Penicillins,2011,OR,Combined Ages,Combined Gender,146.7237522378
Penicillins,2011,PA,Combined Ages,Combined Gender,196.568876557139
Penicillins,2011,RI,Combined Ages,Combined Gender,210.198598885952
Penicillins,2011,SC,Combined Ages,Combined Gender,199.195543214352
Penicillins,2011,SD,Combined Ages,Combined Gender,184.3334453651
Penicillins,2011,TN,Combined Ages,Combined Gender,240.645370264301
Penicillins,2011,TX,Combined Ages,Combined Gender,204.325786592337
Penicillins,2011,UT,Combined Ages,Combined Gender,220.316496431676
Penicillins,2011,VA,Combined Ages,Combined Gender,192.57068023579
Penicillins,2011,VT,Combined Ages,Combined Gender,172.635421821374
Penicillins,2011,WA,Combined Ages,Combined Gender,142.078244977511
Penicillins,2011,WI,Combined Ages,Combined Gender,192.947518605103
Penicillins,2011,WV,Combined Ages,Combined Gender,268.322199352881
Penicillins,2011,WY,Combined Ages,Combined Gender,168.710288902473
Penicillins,2012,AK,Combined Ages,Combined Gender,118.093207182241
Penicillins,2012,AL,Combined Ages,Combined Gender,219.844510121881
Penicillins,2012,AR,Combined Ages,Combined Gender,236.09055030007
Penicillins,2012,AZ,Combined Ages,Combined Gender,167.428451324817
Penicillins,2012,CA,Combined Ages,Combined Gender,144.97280072553
Penicillins,2012,CO,Combined Ages,Combined Gender,157.670335529213
Penicillins,2012,CT,Combined Ages,Combined Gender,191.501287293826
Penicillins,2012,DC,Combined Ages,Combined Gender,235.866622574956
Penicillins,2012,DE,Combined Ages,Combined Gender,225.428730664067
Penicillins,2012,FL,Combined Ages,Combined Gender,147.244926791716
Penicillins,2012,GA,Combined Ages,Combined Gender,195.834032664585
Penicillins,2012,HI,Combined Ages,Combined Gender,154.086063272653
Penicillins,2012,IA,Combined Ages,Combined Gender,206.225700478067
Penicillins,2012,ID,Combined Ages,Combined Gender,165.732550341879
Penicillins,2012,IL,Combined Ages,Combined Gender,214.320689296508
Penicillins,2012,IN,Combined Ages,Combined Gender,218.736277906149
Penicillins,2012,KS,Combined Ages,Combined Gender,212.211741233265
Penicillins,2012,KY,Combined Ages,Combined Gender,274.881498996814
Penicillins,2012,LA,Combined Ages,Combined Gender,236.868127739568
Penicillins,2012,MA,Combined Ages,Combined Gender,205.53126289754
Penicillins,2012,MD,Combined Ages,Combined Gender,197.085229536081
Penicillins,2012,ME,Combined Ages,Combined Gender,166.22345309922
Penicillins,2012,MI,Combined Ages,Combined Gender,205.716882346717
Penicillins,2012,MN,Combined Ages,Combined Gender,169.36559482513
Penicillins,2012,MO,Combined Ages,Combined Gender,220.022267841119
Penicillins,2012,MS,Combined Ages,Combined Gender,228.81390907383
Penicillins,2012,MT,Combined Ages,Combined Gender,155.863108769422
Penicillins,2012,National,Combined Ages,Combined Gender,189.730166345263
Penicillins,2012,National,Combined Ages,F,208.267965038123
Penicillins,2012,National,Combined Ages,M,169.042592724874
Penicillins,2012,National,0-19,Combined Gender,297.153642569
Penicillins,2012,National,0-19,F,Insufficient Data
Penicillins,2012,National,0-19,M,Insufficient Data
Penicillins,2012,National,20+,Combined Gender,147.450688163609
Penicillins,2012,National,20+,F,Insufficient Data
Penicillins,2012,National,20+,M,Insufficient Data
Penicillins,2012,NC,Combined Ages,Combined Gender,200.431434336319
Penicillins,2012,ND,Combined Ages,Combined Gender,194.130781453745
Penicillins,2012,NE,Combined Ages,Combined Gender,224.10016346113
Penicillins,2012,NH,Combined Ages,Combined Gender,172.492588721537
Penicillins,2012,NJ,Combined Ages,Combined Gender,206.613032897711
Penicillins,2012,NM,Combined Ages,Combined Gender,164.140278634594
Penicillins,2012,NV,Combined Ages,Combined Gender,161.443076749982
Penicillins,2012,NY,Combined Ages,Combined Gender,198.653000896599
Penicillins,2012,OH,Combined Ages,Combined Gender,195.577612516982
Penicillins,2012,OK,Combined Ages,Combined Gender,204.562842754068
Penicillins,2012,OR,Combined Ages,Combined Gender,134.697333766986
Penicillins,2012,PA,Combined Ages,Combined Gender,191.187273997427
Penicillins,2012,RI,Combined Ages,Combined Gender,212.941707350207
Penicillins,2012,SC,Combined Ages,Combined Gender,205.537852815208
Penicillins,2012,SD,Combined Ages,Combined Gender,192.290018981334
Penicillins,2012,TN,Combined Ages,Combined Gender,233.430562787052
Penicillins,2012,TX,Combined Ages,Combined Gender,209.265443779506
Penicillins,2012,UT,Combined Ages,Combined Gender,221.731959369491
Penicillins,2012,VA,Combined Ages,Combined Gender,189.835494864071
Penicillins,2012,VT,Combined Ages,Combined Gender,165.897118526587
Penicillins,2012,WA,Combined Ages,Combined Gender,131.665779962521
Penicillins,2012,WI,Combined Ages,Combined Gender,183.368857172407
Penicillins,2012,WV,Combined Ages,Combined Gender,259.881927239646
Penicillins,2012,WY,Combined Ages,Combined Gender,174.42621075312
Penicillins,2013,AK,Combined Ages,Combined Gender,104.763373522738
Penicillins,2013,AL,Combined Ages,Combined Gender,221.540568093149
Penicillins,2013,AR,Combined Ages,Combined Gender,256.770138892412
Penicillins,2013,AZ,Combined Ages,Combined Gender,166.221476814537
Penicillins,2013,CA,Combined Ages,Combined Gender,148.181855390968
Penicillins,2013,CO,Combined Ages,Combined Gender,156.794141825464
Penicillins,2013,CT,Combined Ages,Combined Gender,187.64629414107
Penicillins,2013,DC,Combined Ages,Combined Gender,224.928910463696
Penicillins,2013,DE,Combined Ages,Combined Gender,224.396913233323
Penicillins,2013,FL,Combined Ages,Combined Gender,148.356035779222
Penicillins,2013,GA,Combined Ages,Combined Gender,196.425971851851
Penicillins,2013,HI,Combined Ages,Combined Gender,146.842809763326
Penicillins,2013,IA,Combined Ages,Combined Gender,206.017053099902
Penicillins,2013,ID,Combined Ages,Combined Gender,163.386250242584
Penicillins,2013,IL,Combined Ages,Combined Gender,210.359147536881
Penicillins,2013,IN,Combined Ages,Combined Gender,222.742184904459
Penicillins,2013,KS,Combined Ages,Combined Gender,206.209912214274
Penicillins,2013,KY,Combined Ages,Combined Gender,273.630321328196
Penicillins,2013,LA,Combined Ages,Combined Gender,245.609467900439
Penicillins,2013,MA,Combined Ages,Combined Gender,194.307536555325
Penicillins,2013,MD,Combined Ages,Combined Gender,193.002266306798
Penicillins,2013,ME,Combined Ages,Combined Gender,161.686947110789
Penicillins,2013,MI,Combined Ages,Combined Gender,231.214782334517
Penicillins,2013,MN,Combined Ages,Combined Gender,171.848520672961
Penicillins,2013,MO,Combined Ages,Combined Gender,219.56135047016
Penicillins,2013,MS,Combined Ages,Combined Gender,234.612857537219
Penicillins,2013,MT,Combined Ages,Combined Gender,146.349234971384
Penicillins,2013,National,Combined Ages,Combined Gender,192.102781964496
Penicillins,2013,National,Combined Ages,F,210.83528044894
Penicillins,2013,National,Combined Ages,M,171.209243583848
Penicillins,2013,National,0-19,Combined Gender,295.807225314768
Penicillins,2013,National,0-19,F,Insufficient Data
Penicillins,2013,National,0-19,M,Insufficient Data
Penicillins,2013,National,20+,Combined Gender,151.791118251042
Penicillins,2013,National,20+,F,Insufficient Data
Penicillins,2013,National,20+,M,Insufficient Data
Penicillins,2013,NC,Combined Ages,Combined Gender,192.792278582516
Penicillins,2013,ND,Combined Ages,Combined Gender,177.648306226229
Penicillins,2013,NE,Combined Ages,Combined Gender,223.071024720048
Penicillins,2013,NH,Combined Ages,Combined Gender,170.4815305425
Penicillins,2013,NJ,Combined Ages,Combined Gender,210.44298031915
Penicillins,2013,NM,Combined Ages,Combined Gender,161.709860821939
Penicillins,2013,NV,Combined Ages,Combined Gender,163.684091744423
Penicillins,2013,NY,Combined Ages,Combined Gender,207.406129161305
Penicillins,2013,OH,Combined Ages,Combined Gender,220.372991542922
Penicillins,2013,OK,Combined Ages,Combined Gender,204.008836479964
Penicillins,2013,OR,Combined Ages,Combined Gender,131.742299267735
Penicillins,2013,PA,Combined Ages,Combined Gender,215.361764565954
Penicillins,2013,RI,Combined Ages,Combined Gender,202.363554892277
Penicillins,2013,SC,Combined Ages,Combined Gender,203.866289712192
