year	state_abbreviation	population
1969	AK	294290
1969	AL	3411770
1969	AR	1893768
1969	AZ	1702945
1969	CA	19745905
1969	CO	2153153
1969	CT	3014615
1969	DC	760291
1969	DE	537811
1969	FL	6567950
1969	GA	4513265
1969	HI	751103
1969	IA	2809783
1969	ID	697487
1969	IL	11052819
1969	IN	5162578
1969	KS	2250328
1969	KY	3173740
1969	LA	3604367
1969	MA	5659435
1969	MD	3864521
1969	ME	980609
1969	MI	8827833
1969	MN	3778923
1969	MO	4650329
1969	MS	2187159
1969	MT	684222
1969	NC	5013668
1969	ND	612454
1969	NE	1473784
1969	NH	722955
1969	NJ	7104428
1969	NM	995273
1969	NV	469977
1969	NY	18167105
1969	OH	10610728
1969	OK	2523771
1969	OR	2056379
1969	PA	11750369
1969	RI	941122
1969	SC	2547708
1969	SD	663081
1969	TN	3874872
1969	TX	11010547
1969	UT	1034450
1969	VA	4589746
1969	VT	438948
1969	WA	3392905
1969	WI	4392904
1969	WV	1728411
1969	WY	327809
1970	AK	305328
1970	AL	3454557
1970	AR	1932816
1970	AZ	1799531
1970	CA	20045806
1970	CO	2228340
1970	CT	3038035
1970	DC	755466
1970	DE	551509
1970	FL	6865460
1970	GA	4611479
1970	HI	776177
1970	IA	2830777
1970	ID	718147
1970	IL	11129316
1970	IN	5206262
1970	KS	2248359
1970	KY	3236121
1970	LA	3657391
1970	MA	5699034
1970	MD	3943493
1970	ME	998135
1970	MI	8899844
1970	MN	3815381
1970	MO	4686588
1970	MS	2226138
1970	MT	697665
1970	NC	5107138
1970	ND	619616
1970	NE	1489064
1970	NH	742566
1970	NJ	7193210
1970	NM	1024290
1970	NV	494996
1970	NY	18266034
1970	OH	10672784
1970	OK	2570926
1970	OR	2103151
1970	PA	11817397
1970	RI	952555
1970	SC	2604662
1970	SD	667299
1970	TN	3942583
1970	TX	11260221
1970	UT	1067600
1970	VA	4671101
1970	VT	446649
1970	WA	3419974
1970	WI	4426419
1970	WV	1749347
1970	WY	333928
1971	AK	316366
1971	AL	3497349
1971	AR	1971940
1971	AZ	1896117
1971	CA	20345724
1971	CO	2303608
1971	CT	3061455
1971	DC	750641
1971	DE	565207
1971	FL	7162971
1971	GA	4709721
1971	HI	801251
1971	IA	2851875
1971	ID	738856
1971	IL	11205953
1971	IN	5250028
1971	KS	2246461
1971	KY	3298565
1971	LA	3710415
1971	MA	5738634
1971	MD	4022470
1971	ME	1015679
1971	MI	8971957
1971	MN	3851972
1971	MO	4722984
1971	MS	2265118
1971	MT	711153
1971	NC	5200624
1971	ND	626814
1971	NE	1504425
1971	NH	762190
1971	NJ	7281992
1971	NM	1053333
1971	NV	520027
1971	NY	18364991
1971	OH	10734897
1971	OK	2618115
1971	OR	2149942
1971	PA	11884462
1971	RI	963988
1971	SC	2661616
1971	SD	671564
1971	TN	4010338
1971	TX	11510036
1971	UT	1100798
1971	VA	4752480
1971	VT	454378
1971	WA	3447070
1971	WI	4460012
1971	WV	1770346
1971	WY	340058
1972	AK	326431
1972	AL	3540003
1972	AR	2017987
1972	AZ	2008852
1972	CA	20584918
1972	CO	2404715
1972	CT	3069631
1972	DC	743778
1972	DE	573824
1972	FL	7520382
1972	GA	4806621
1972	HI	827610
1972	IA	2860464
1972	ID	763315
1972	IL	11258208
1972	IN	5296219
1972	KS	2255791
1972	KY	3336275
1972	LA	3761799
1972	MA	5762150
1972	MD	4081123
1972	ME	1034816
1972	MI	9024729
1972	MN	3866890
1972	MO	4753328
1972	MS	2306980
1972	MT	719272
1972	NC	5296063
1972	ND	631073
1972	NE	1518356
1972	NH	781710
1972	NJ	7336570
1972	NM	1077889
1972	NV	546805
1972	NY	18351888
1972	OH	10747042
1972	OK	2657777
1972	OR	2195316
1972	PA	11904626
1972	RI	976384
1972	SC	2718294
1972	SD	677476
1972	TN	4088549
1972	TX	11759213
1972	UT	1134632
1972	VA	4827910
1972	VT	463212
1972	WA	3446895
1972	WI	4498455
1972	WV	1796949
1972	WY	346893
1973	AK	333134
1973	AL	3580759
1973	AR	2058402
1973	AZ	2125305
1973	CA	20867894
1973	CO	2495942
1973	CT	3069158
1973	DC	733677
1973	DE	579100
1973	FL	7927232
1973	GA	4906450
1973	HI	850517
1973	IA	2864033
1973	ID	782142
1973	IL	11260386
1973	IN	5329163
1973	KS	2264585
1973	KY	3371741
1973	LA	3788684
1973	MA	5783836
1973	MD	4109069
1973	ME	1046432
1973	MI	9071832
1973	MN	3885200
1973	MO	4774667
1973	MS	2349565
1973	MT	727504
1973	NC	5382396
1973	ND	632500
1973	NE	1528599
1973	NH	801832
1973	NJ	7335280
1973	NM	1104347
1973	NV	568946
1973	NY	18194899
1973	OH	10767335
1973	OK	2694412
1973	OR	2238985
1973	PA	11885290
1973	RI	978018
1973	SC	2775339
1973	SD	678998
1973	TN	4138628
1973	TX	12019599
1973	UT	1168826
1973	VA	4906505
1973	VT	468547
1973	WA	3477308
1973	WI	4518503
1973	WV	1805347
1973	WY	353385
1974	AK	344658
1974	AL	3627778
1974	AR	2100229
1974	AZ	2224356
1974	CA	21172684
1974	CO	2541424
1974	CT	3075790
1974	DC	720758
