country_of_residence	AT	BE	CH	CZ	DE	DK	ES	FI	FR	HU	IE	IT	LU	NL	NO	PT	SE	SK	UK
AT		.	11	.	28		.		.	.		.			.			.	.
BE					9				17			.	41	31					.
BG	.	.		.	12		.		.			.		.	.		.		(4)
CH	.				6				.			(2)							
CZ	9	.	(1)		31	.		.	(1)		.			-1			.	(3)	3
DE	28	.	80	.		9	.		7			.	45	44	.	.	.	.	6
DK			.		.		.				.			.	.		.		.
EE					.			14							(2)		.		.
ES	.	.	.		(3)	.			6		(2)	(1)		(2)	.	(4)			23
FR		35	218	34		(7)						.	88	.		.	.		(7)
HR	(3)	.			12				(1)		.	(3)		(1)	.				.
HU	51	.	(3)	.	34	.	.		.		.	.	.	.	.		.	(3)	11
IE					.									.					10
IT	(2)	.	65		7	.	4		7					.		.	.		6
LT					.	.					.			.	.		.		.
LU		1	.		(2)		.		1							.			.
LV					.	.					.			.	2		(2)		4
MT		.											.						.
NL	.	15	.		15	.	.		.			.					.		(2)
PL	(9)	.	.	(9)	101	.			.		.	.		16	(11)		.		(10)
PT		.	.		.		7		5			.		.	.				.
RO	.	.		.	33		(10)		.		.	56		.		.	.		(9)
SE		.			.	16	.	.	.		.	.			14				(2)
SI	11				(1)							(2)							
SK	50	(3)	5	39	28	.	.		4	6	.	4		5	.		(2)		7
UK		.		.	.	.			.		(8)			.	.				
