unit,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PER_KM2,AL	: 	: 	: 	: 	: 	: 	100.7 	100.6 	100.4 	100.1 	99.9 	99.8 
PER_KM2,AT	100.3 	100.6 	100.9 	101.2 	101.5 	101.8 	102.3 	102.9 	103.7 	104.9 	106.0 b	106.8 
PER_KM2,BE	347.8 	350.4 	353.1 	356.0 	359.5 	364.3 	366.3 	368.0 	369.6 	371.8 	373.7 b	373.6 
PER_KM2,BG	68.5 	68.0 	67.5 	67.1 	67.9 	67.5 	67.1 	66.7 	66.3 	66.2 	64.8 b	64.3 
PER_KM2,CH	187.1 	188.8 	191.2 	193.6 	195.6 	197.8 	199.9 	202.3 	204.7 	207.1 	210.1 b	212.0 
PER_KM2,CY	81.2 	82.9 	85.4 	87.7 	90.0 	92.3 	93.8 	93.5 	92.5 	92.0 	92.4 b	93.3 
PER_KM2,CZ	132.5 	133.3 	134.4 	135.2 	135.6 	135.9 	136.1 	136.1 	136.3 	136.6 	136.8 b	137.2 
PER_KM2,DE	230.7 	230.4 	229.9 	229.3 	229.0 	224.8 	225.2 	225.8 	226.5 	228.4 	233.1 b	234.0 
PER_KM2,DK	126.2 	126.7 	127.5 	128.2 	128.7 	129.7 	130.4 	130.8 	131.5 	132.4 	136.4 b	137.3 
PER_KM2,EE	31.0 	30.9 	30.8 	30.7 	30.7 	30.6 	30.5 	30.3 	30.3 	30.3 	30.3 b	30.3 
PER_KM2,EL	84.2 	84.5 	84.7 	84.9 	85.0 	84.1 	83.6 	83.0 	82.5 	82.7 	82.4 b	82.2 
PER_KM2,ES	87.7 	90.1 	91.6 	92.4 	92.8 	93.2 	93.2 	92.9 	92.5 	92.5 	92.5 b	92.7 
PER_KM2,EU27	114.6 e	115.2 e	115.6 e	116.1 e	116.3 e	116.3 e	116.7 e	116.9 e	117.5 e	117.8 e	118.2 b	118.3 
PER_KM2,EU28	114.1 e	114.7 e	115.1 e	115.6 e	115.7 e	115.8 e	116.2 e	116.3 e	116.9 e	117.2 e	117.7 b	117.7 
PER_KM2,FI	17.3 	17.4 	17.5 	17.6 	17.6 	17.7 	17.8 	17.9 	18.0 	18.0 	18.1 b	18.1 
PER_KM2,FR	100.2 	100.9 	101.4 	101.9 	102.4 	102.9 	103.4 	103.9 	104.6 	105.0 	105.3 b	105.5 
PER_KM2,HR	76.2 	76.2 	76.2 	76.1 	75.9 	75.7 	75.4 	75.2 	74.9 	74.4 	74.6 b	73.9 
PER_KM2,HU	108.3 	108.1 	107.9 	107.7 	107.5 	107.2 	106.6 	106.4 	108.1 	107.9 	107.6 b	107.3 
PER_KM2,IE	62.5 	64.3 	65.6 	66.3 	66.7 	67.0 	67.3 	67.6 	67.8 	68.5 	69.3 b	70.0 
PER_KM2,IS	3.0 	3.1 	3.2 	3.2 	3.2 	3.2 	3.2 	3.2 	3.3 	3.3 	3.3 b	3.4 
PER_KM2,IT	197.0 	198.0 	199.3 	200.2 	200.9 	201.2 	201.8 	199.4 	206.0 	205.8 	205.4 b	203.3 
PER_KM2,LI	224.2 	225.6 	227.1 	228.8 	230.6 	232.5 	234.7 	236.8 	235.7 	237.3 	238.7 b	240.3 
PER_KM2,LT	52.2 	51.6 	51.0 	50.5 	49.4 	48.3 	47.7 	47.2 	46.8 	46.4 	45.8 b	45.2 
