Based on 1990 population
countrynm                     latitude                      longitude                     population
Albania                       41.126188287449               19.972112655242               3185192
Andorra                       42.513021104738               1.5595974778879               68206
Austria                       47.765753414462               14.668079534497               8046536
Belarus                       53.524715810427               27.922617893867               10328702
Belgium                       50.843146477063               4.4255693660047               10136807
Bosnia-Herzegovina            44.157108623539               17.737558226934               3420232
Bulgaria                      42.758849513174               25.077727100346               8406019
Croatia                       45.317639630052               16.262956642518               4633597
Cyprus                        34.980779853928               33.276896976217               743744
Czech Republic                49.8208791536                 15.625308552013               10331290
Denmark                       55.8537111838                 10.840388944887               5227861
Estonia                       58.967436645745               25.590692546495               1483942
Faeroe Islands                62.09466580661                -6.8992739217027              43752
Finland                       61.817260743447               24.981374915966               5107804
France                        47.178355058332               2.6698858490528               58139059
Germany                       50.878335506338               9.7310587802481               81660955
Gibraltar                     36.136024475098               -5.3476929664612              26686
Greece                        38.716619555294               23.259809960477               10454017
Guernsey                      49.484886169434               -2.5164697170258              56179
Holy See                      41.831249237061               12.541416168213               800
Hungary                       47.288886830056               19.381171925666               10214329
Iceland                       64.439236509362               -20.998260391039              267384
Ireland                       53.109506151683               -7.447661356271               3608846
Isle of Man                   54.185512053177               -4.5323389782032              71089
Italy                         42.851606263258               12.128425717687               57301057
Jersey                        49.219615936279               -2.1376717090607              85310
Latvia                        56.830377320618               24.469351903139               2515605
Liechtenstein                 47.152649051149               9.5490767453037               30702
Lithuania                     55.215875123842               23.888812704774               3714811
Luxembourg                    49.641696080994               6.0842227397884               409699
Macedonia                     41.732470486386               21.564968987748               1963492
Malta                         35.898675544024               14.458679318353               377783
Monaco                        43.740207672119               7.4421668052673               31752
Netherlands                   52.080104643868               5.2924280284108               15458900
Norway                        61.212306029769               10.005908642378               4359191
Poland                        51.697066770739               19.308739992918               38594993
Portugal                      39.704754462102               -9.1655868359197              9916432
Republic of Moldova           47.182127432963               28.595391960151               4338751
Romania                       45.684396122618               25.260942789362               22680956
