country1	country2	n
AUT	AUT	3514133
AUT	BEL	573755
AUT	BGR	451194
AUT	CHE	1576468
AUT	CYP	253506
AUT	CZE	172897
AUT	DEU	7116566
AUT	DNK	438828
AUT	ESP	1828925
AUT	EST	52735
AUT	FIN	200249
AUT	FRA	1274340
AUT	GBR	2466927
AUT	GRC	981794
AUT	HRV	333869
AUT	HUN	106038
AUT	IRL	170627
AUT	ISL	15788
AUT	ITA	1544244
AUT	LTU	56842
AUT	LUX	107887
AUT	LVA	111039
AUT	MKD	120483
AUT	MLT	133720
AUT	MNE	83983
AUT	NLD	1205341
AUT	NOR	199917
AUT	POL	386144
AUT	PRT	303485
AUT	ROU	548705
AUT	SRB	195950
AUT	SVK	57797
AUT	SVN	62109
AUT	SWE	350997
BEL	AUT	503026
BEL	BEL	4540348
BEL	BGR	329059
BEL	CHE	1024491
BEL	CYP	67652
BEL	CZE	484229
BEL	DEU	1849219
BEL	DNK	704835
BEL	ESP	6058863
BEL	EST	48750
BEL	FIN	200403
BEL	FRA	2280107
BEL	GBR	1626131
BEL	GRC	1139859
BEL	HRV	236188
BEL	HUN	566783
BEL	IRL	509966
BEL	ISL	153494
BEL	ITA	3360509
BEL	LTU	98302
BEL	LUX	836
BEL	LVA	138339
BEL	MKD	48461
BEL	MLT	233797
BEL	MNE	53288
BEL	NLD	277210
BEL	NOR	284040
BEL	POL	828918
BEL	PRT	1497654
BEL	ROU	663513
BEL	SRB	32508
BEL	SVK	63300
BEL	SVN	107873
BEL	SWE	567733
BGR	AUT	451237
BGR	BEL	361392
BGR	BGR	2808208
BGR	CHE	107062
BGR	CYP	152444
BGR	CZE	383265
BGR	DEU	2288091
BGR	DNK	146695
BGR	ESP	510339
BGR	EST	40408
BGR	FIN	74875
BGR	FRA	274751
BGR	GBR	1847635
BGR	GRC	275440
BGR	HRV	1416
BGR	HUN	84003
BGR	IRL	102061
BGR	ISL	NA
BGR	ITA	836160
BGR	LTU	56061
BGR	LUX	24402
BGR	LVA	44429
BGR	MKD	204
BGR	MLT	53407
BGR	MNE	NA
BGR	NLD	375852
BGR	NOR	117094
BGR	POL	748478
BGR	PRT	30735
BGR	ROU	47040
BGR	SRB	24444
BGR	SVK	162591
BGR	SVN	7686
BGR	SWE	73150
CHE	AUT	1585274
CHE	BEL	927272
CHE	BGR	72791
CHE	CHE	3379445
CHE	CYP	144669
CHE	CZE	361229
CHE	DEU	6964412
CHE	DNK	683908
CHE	ESP	4955711
CHE	EST	1280
CHE	FIN	310806
CHE	FRA	4080011
CHE	GBR	5870045
CHE	GRC	1158318
CHE	HRV	288830
CHE	HUN	528409
CHE	IRL	430246
CHE	ISL	171043
CHE	ITA	2518860
CHE	LTU	437
CHE	LUX	187154
CHE	LVA	126595
CHE	MKD	166442
CHE	MLT	144833
CHE	MNE	35533
CHE	NLD	2140695
CHE	NOR	239176
CHE	POL	536354
CHE	PRT	2475083
CHE	ROU	147011
CHE	SRB	472371
CHE	SVK	846
CHE	SVN	106054
CHE	SWE	630169
CYP	AUT	252085
CYP	BEL	68190
CYP	BGR	152929
CYP	CHE	179615
CYP	CYP	344247
CYP	CZE	42723
CYP	DEU	455535
CYP	DNK	113860
CYP	ESP	23453
CYP	EST	33799
CYP	FIN	47386
CYP	FRA	32295
CYP	GBR	3067009
CYP	GRC	1701200
CYP	HRV	NA
CYP	HUN	96175
CYP	IRL	36977
CYP	ISL	1
CYP	ITA	122648
CYP	LTU	59718
CYP	LUX	20
CYP	LVA	46765
CYP	MKD	NA
CYP	MLT	34381
CYP	MNE	153
CYP	NLD	85957
CYP	NOR	100434
CYP	POL	290178
CYP	PRT	35
CYP	ROU	267187
CYP	SRB	50843
CYP	SVK	63040
CYP	SVN	8827
CYP	SWE	259562
CZE	AUT	169385
CZE	BEL	484280
CZE	BGR	381759
CZE	CHE	418135
CZE	CYP	37507
CZE	CZE	4226255
CZE	DEU	1141565
CZE	DNK	301260
CZE	ESP	1246171
CZE	EST	144
CZE	FIN	320737
CZE	FRA	1053431
CZE	GBR	2270275
CZE	GRC	822707
CZE	HRV	100626
CZE	HUN	200441
CZE	IRL	209734
CZE	ISL	29482
CZE	ITA	1383425
CZE	LTU	156
CZE	LUX	13690
CZE	LVA	59998
CZE	MKD	2067
CZE	MLT	29693
CZE	MNE	22973
CZE	NLD	869527
CZE	NOR	200678
CZE	POL	270275
CZE	PRT	199569
CZE	ROU	88957
CZE	SRB	52889
CZE	SVK	47867
CZE	SVN	14243
CZE	SWE	290213
DEU	AUT	7130542
DEU	BEL	1865844
DEU	BGR	2296470
DEU	CHE	6961453
DEU	CYP	457655
DEU	CZE	1190020
DEU	DEU	32978304
DEU	DNK	2829784
DEU	ESP	29687776
DEU	EST	440432
DEU	FIN	1922287
DEU	FRA	8245760
DEU	GBR	15088859
DEU	GRC	7980262
DEU	HRV	2086331
DEU	HUN	2167071
DEU	IRL	2529041
DEU	ISL	840420
DEU	ITA	14348432
DEU	LTU	532539
DEU	LUX	540677
DEU	LVA	911264
DEU	MKD	445941
DEU	MLT	821706
DEU	MNE	142282
DEU	NLD	4563481
DEU	NOR	1693460
DEU	POL	4548225
