"TIME","GEO","UNIT","INDIC_IL","CITIZEN","SEX","AGE","Value"
"2009","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","15,186"
"2010","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","15,318"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","15,384"
"2012","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","15,889"
"2013","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","15,863"
"2014","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","16,218"
"2015","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","16,565"
"2016","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","16,949"
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","16,955"
"2018","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013)","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
"2009","European Union - 28 countries","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
"2010","European Union - 28 countries","Euro","Median equivalised net income","Reporting country","Total","18 years or over","15,318"
"2011","European Union - 28 countries","Euro","Median equivalised net income","Reporting country","Total","18 years or over","15,384"
"2012","European Union - 28 countries","Euro","Median equivalised net income","Reporting country","Total","18 years or over","15,889"
"2013","European Union - 28 countries","Euro","Median equivalised net income","Reporting country","Total","18 years or over","15,863"
"2014","European Union - 28 countries","Euro","Median equivalised net income","Reporting country","Total","18 years or over","16,218"
"2015","European Union - 28 countries","Euro","Median equivalised net income","Reporting country","Total","18 years or over","16,565"
"2016","European Union - 28 countries","Euro","Median equivalised net income","Reporting country","Total","18 years or over","16,949"
"2017","European Union - 28 countries","Euro","Median equivalised net income","Reporting country","Total","18 years or over","16,955"
"2018","European Union - 28 countries","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
"2009","European Union - 27 countries (2007-2013)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","15,186"
"2010","European Union - 27 countries (2007-2013)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","15,405"
"2011","European Union - 27 countries (2007-2013)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","15,474"
"2012","European Union - 27 countries (2007-2013)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","15,983"
"2013","European Union - 27 countries (2007-2013)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","15,960"
"2014","European Union - 27 countries (2007-2013)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","16,317"
"2015","European Union - 27 countries (2007-2013)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","16,665"
