country	temperature
Afghanistan	12.92
Angola	21.51
Albania	11.27
United Arab Emirates	26.83
Argentina	14.22
Armenia	6.37
Australia	21.51
Austria	6.19
Azerbaijan	12.22
Burundi	20.27
Belgium	9.51
Benin	27.46
Burkina Faso	28.18
Bangladesh	25.47
Bulgaria	10.4
Bahamas	25.06
Bosnia & Herzegovina	9.02
Belarus	6.29
Belize	25.06
Bolivia	20.98
Brazil	24.92
Brunei	25.93
Bhutan	8.58
Botswana	21.48
Central African Republic	24.84
Canada	-7.14
Switzerland	4.75
Chile	8.37
China	6.33
Côte d’Ivoire	26.3
Cameroon	24.53
Congo - Kinshasa	24.04
Congo - Brazzaville	24.52
Colombia	24.4
Comoros	23.99
Costa Rica	23.85
Cuba	25.13
Cyprus	18.71
Czechia	7.67
Germany	8.5
Djibouti	27.64
Denmark	7.82
Dominican Republic	23.93
Algeria	22.58
Ecuador	21.33
Egypt	22.12
Eritrea	26.07
Western Sahara	23.39
Spain	13.03
Estonia	5.03
Ethiopia	22.37
Finland	1.35
Fiji	23.37
Falkland Islands	5.79
France	10.54
Gabon	25
United Kingdom	8.31
Georgia	7.36
Ghana	27.25
Guinea	25.55
Guadeloupe	25.02
Gambia	26.77
Guinea-Bissau	26.61
Equatorial Guinea	24.13
Greece	13.66
Guatemala	23.07
French Guiana	25.62
Guyana	25.8
Honduras	23.39
Croatia	10.47
Haiti	24.48
Hungary	10.06
Indonesia	25.72
India	23.95
Ireland	9.11
Iran	16.93
Iraq	21.58
Iceland	1.35
Israel	19.7
Italy	11.5
Jamaica	24.47
Jordan	18.35
Japan	10.36
Kazakhstan	5.99
Kenya	24.5
Kyrgyzstan	1.09
Cambodia	26.94
South Korea	10.66
Kosovo	8.42
Kuwait	25.15
Laos	23.22
Lebanon	15.61
Liberia	25.25
Libya	21.9
Sri Lanka	26.76
Lesotho	11.97
Lithuania	6.24
Luxembourg	8.88
Latvia	5.63
Morocco	17.23
Moldova	9.67
Madagascar	22.01
Mexico	20.54
Macedonia	9.85
Mali	28.3
Myanmar (Burma)	22.96
Montenegro	7.91
Mongolia	-0.5
Mozambique	23.69
Mauritania	27.69
Mauritius	23.13
Malawi	21.98
Malaysia	25.14
Namibia	20.04
New Caledonia	21.96
Niger	27.24
Nigeria	26.78
Nicaragua	24.59
Netherlands	9.2
Norway	0.75
Nepal	12.74
New Zealand	9.98
Oman	25.45
Pakistan	19.98
Panama	24.72
Peru	19.46
Philippines	25.33
Papua New Guinea	25.05
Poland	7.87
Puerto Rico	24.28
North Korea	4.86
Portugal	14.97
Paraguay	23.48
Qatar	26.92
Réunion	21.08
Romania	8.81
Russia	-6.32
Rwanda	19.01
Saudi Arabia	24.65
Sudan	26.82
Senegal	27.87
Svalbard & Jan Mayen	-9.14
Solomon Islands	25.68
Sierra Leone	26.04
El Salvador	24.77
Somalia	26.77
Serbia	10.18
South Sudan	26.93
Suriname	25.77
Slovakia	7.27
Slovenia	8.04
Sweden	1.55
Swaziland	20.41
Syria	17.65
Chad	26.65
Togo	26.8
Thailand	26.25
Tajikistan	3.03
Turkmenistan	15.22
Timor-Leste	24.97
Trinidad & Tobago	25.86
Tunisia	19.36
Turkey	10.93
Tanzania	22.31
Uganda	22.6
Ukraine	8.21
Uruguay	17.57
United States	6.75
Uzbekistan	12.52
St. Vincent & Grenadines	26.82
Venezuela	25.32
U.S. Virgin Islands	25.74
Vietnam	24.07
Vanuatu	23.84
Yemen	23.16
South Africa	17.6
Zambia	21.58
Zimbabwe	21.03
Malta	19.5
