unit	unit_id	region	area	population	temperature	income
Austria	1	Western Europe	83858	8409.949	6.19	47370
Belgium	2	Western Europe	30528	10938.739000000001	9.51	44571
Bulgaria	3	Eastern Europe	110912	7404.59	10.4	7163.5
Croatia	4	Southern Europe	56538	4328.153	10.47	13721
Czech Republic	5	Eastern Europe	78866	10536.286	7.67	20093.333333333332
Denmark	6	Northern Europe	43094	5554.844	7.82	58731.333333333336
Estonia	7	Northern Europe	45100	1332.1019999999999	5.03	16499.666666666668
Finland	8	Northern Europe	338145	5365.782	1.35	45947.666666666664
France	9	Western Europe	551500	63026.74	10.54	41214.5
Germany	10	Western Europe	357022	80894.785	8.5	44012.833333333336
Greece	11	Southern Europe	131957	11446.005	13.66	22891.333333333332
Hungary	12	Eastern Europe	93032	9927.84	10.06	13732
Iceland	13	Northern Europe	103000	320.328	1.35	43369.5
Ireland	14	Northern Europe	70273	4626.928	9.11	52748.333333333336
Italy	15	Southern Europe	301318	59729.807	11.5	34883.833333333336
Latvia	16	Northern Europe	64600	2118.848	5.63	12845.666666666666
Lithuania	17	Northern Europe	65300	3123.8030000000003	6.24	13713.833333333334
Luxembourg	18	Western Europe	2586	507.889	8.88	105108.16666666667
Malta	19	Southern Europe	316	416.11	19.5	22704.833333333332
Netherlands	20	Western Europe	41528	16682.917	9.2	50459
Norway	21	Northern Europe	385155	4885.878	0.75	88659.5
Poland	22	Eastern Europe	312685	38323.402	7.87	13508.333333333334
Portugal	23	Southern Europe	91982	10652.321	14.97	21661.833333333332
Slovakia	24	Eastern Europe	49033	5404.294	7.27	17487.333333333332
Slovenia	25	Southern Europe	20256	2045.168	8.04	23178.833333333332
Spain	26	Southern Europe	505992	46788.63	13.03	29861.166666666668
Sweden	27	Northern Europe	449964	9390.168	1.55	53202.5
United Kingdom	28	Northern Europe	242900	63306.843	8.31	39698.5
