unit	population	long	lat	unit_id	state_abbreviation	region	division
Alabama	4779736	-86.756826	33.008097	1	AL	South	East South Central
Alaska	710231	-148.873973	61.399882	2	AK	West	Pacific
Arizona	6392017	-111.86431	33.368266	3	AZ	West	Mountain
Arkansas	2915918	-92.655243	35.14258	4	AR	South	West South Central
California	37253956	-119.325359	35.463595	5	CA	West	Pacific
Colorado	5029196	-105.208056	39.513420000000004	6	CO	West	Mountain
Connecticut	3574097	-72.870342	41.497001	7	CT	Northeast	New England
Delaware	897934	-75.556835	39.358946	8	DE	South	South Atlantic
Florida	18801310	-81.634654	27.822726	9	FL	South	South Atlantic
Georgia	9687653	-83.882712	33.376825	10	GA	South	South Atlantic
Hawaii	1360301	-157.484404	21.115289	11	HI	West	Pacific
Idaho	1567582	-115.178681	44.218532	12	ID	West	Mountain
Illinois	12830632	-88.390334	41.286759000000004	13	IL	North Central	East North Central
Indiana	6483802	-86.259514	40.149246	14	IN	North Central	East North Central
Iowa	3046355	-93.036629	41.946066	15	IA	North Central	West North Central
Kansas	2853118	-96.462812	38.464949	16	KS	North Central	West North Central
Kentucky	4339367	-85.248467	37.824499	17	KY	South	East South Central
Louisiana	4533372	-91.508833	30.722814	18	LA	South	West South Central
Maine	1328361	-69.736482	44.29995	19	ME	Northeast	New England
Maryland	5773552	-76.797763	39.140769	20	MD	South	South Atlantic
Massachusetts	6547629	-71.36337	42.272291	21	MA	Northeast	New England
Michigan	9883640	-84.203434	42.873187	22	MI	North Central	East North Central
Minnesota	5303925	-93.571903	45.203555	23	MN	North Central	West North Central
Mississippi	2967297	-89.579514	32.590954	24	MS	South	East South Central
Missouri	5988927	-92.198469	38.423798	25	MO	North Central	West North Central
Montana	989415	-111.296213	46.787064	26	MT	West	Mountain
Nebraska	1826341	-97.315578	41.1743	27	NE	North Central	West North Central
Nevada	2700551	-116.19172	37.043481	28	NV	West	Mountain
New Hampshire	1316470	-71.461974	43.154858	29	NH	Northeast	New England
New Jersey	8791894	-74.432208	40.43181	30	NJ	Northeast	Middle Atlantic
New Mexico	2059179	-106.354349	34.632744	31	NM	West	Mountain
New York	19378102	-74.620909	41.501299	32	NY	Northeast	Middle Atlantic
North Carolina	9535483	-79.658232	35.543075	33	NC	South	South Atlantic
North Dakota	672591	-99.309504	47.348468	34	ND	North Central	West North Central
Ohio	11536504	-82.773338999999993	40.455191	35	OH	North Central	East North Central
Oklahoma	3751351	-96.836786	35.598464	36	OK	South	West South Central
Oregon	3831074	-122.585214	44.743243	37	OR	West	Pacific
Pennsylvania	12702379	-77.00968	40.456756	38	PA	Northeast	Middle Atlantic
Rhode Island	1052567	-71.450869	41.753609	39	RI	Northeast	New England
South Carolina	4625364	-81.011022	34.025176	40	SC	South	South Atlantic
South Dakota	814180	-99.002355	44.014397	41	SD	North Central	West North Central
Tennessee	6346105	-86.359136	35.80809	42	TN	South	East South Central
Texas	25145561	-97.365594	30.905244	43	TX	South	West South Central
Utah	2763885	-111.927035	40.401359	44	UT	West	Mountain
Vermont	625741	-72.816417	44.094874	45	VT	Northeast	New England
Virginia	8001024	-77.81116	37.810313	46	VA	South	South Atlantic
Washington	6724540	-121.619994	47.33075	47	WA	West	Pacific
West Virginia	1852994	-80.731308	38.795594	48	WV	South	South Atlantic
Wisconsin	5686986	-89.018997	43.721933	49	WI	North Central	East North Central
Wyoming	563626	-107.019126	42.697026	50	WY	West	Mountain
