unit	population	unit_id	state_abbreviation	region	division	area	temperature	income
Alabama	4779736	1	AL	South	East South Central	135767	62.81626016260162	43623
Alaska	710231	2	AK	West	Pacific	1723337	32.67460317460318	72515
Arizona	6392017	3	AZ	West	Mountain	295234	62.116216216216216	50255
Arkansas	2915918	4	AR	South	West South Central	137732	60.49478260869565	41371
California	37253956	5	CA	West	Pacific	423967	59.49644670050761	61818
Colorado	5029196	6	CO	West	Mountain	269601	46.01219512195122	60629
Connecticut	3574097	7	CT	Northeast	New England	14357	49.611111111111114	70331
Delaware	897934	8	DE	South	South Atlantic	6446	55.61	60509
Florida	18801310	9	FL	South	South Atlantic	170312	72.10406976744186	47507
Georgia	9687653	10	GA	South	South Atlantic	153910	63.17464788732394	49620
Hawaii	1360301	11	HI	West	Pacific	28313	71.715625	69515
Idaho	1567582	12	ID	West	Mountain	216443	45.71089743589744	47583
Illinois	12830632	13	IL	North Central	East North Central	149995	52.13620689655173	57574
Indiana	6483802	14	IN	North Central	East North Central	94326	51.97563025210084	49255
Iowa	3046355	15	IA	North Central	West North Central	145746	48.167808219178085	53183
Kansas	2853118	16	KS	North Central	West North Central	213100	54.5	52205
Kentucky	4339367	17	KY	South	East South Central	104656	55.994174757281556	43740
Louisiana	4533372	18	LA	South	West South Central	135659	66.69716981132075	45047
Maine	1328361	19	ME	Northeast	New England	91633	42.554545454545455	49331
Maryland	5773552	20	MD	South	South Atlantic	32131	55.28103448275862	74551
Massachusetts	6547629	21	MA	Northeast	New England	27336	48.374647887323945	68563
Michigan	9883640	22	MI	North Central	East North Central	250487	45.46714285714285	49576
Minnesota	5303925	23	MN	North Central	West North Central	225163	42.20483870967742	61492
Mississippi	2967297	24	MS	South	East South Central	125438	63.52772277227723	39665
Missouri	5988927	25	MO	North Central	West North Central	180540	54.96842105263158	48173
Montana	989415	26	MT	West	Mountain	380831	43.71340996168583	47169
Nebraska	1826341	27	NE	North Central	West North Central	200330	49.25416666666667	52997
Nevada	2700551	28	NV	West	Mountain	286380	51.659541984732826	51847
New Hampshire	1316470	29	NH	Northeast	New England	24214	44.31764705882353	66779
New Jersey	8791894	30	NJ	Northeast	Middle Atlantic	22591	52.644	72093
New Mexico	2059179	31	NM	West	Mountain	314917	54.092063492063495	44963
New York	19378102	32	NY	Northeast	Middle Atlantic	141297	47.078857142857146	59269
North Carolina	9535483	33	NC	South	South Atlantic	139391	58.58888888888889	46868
North Dakota	672591	34	ND	North Central	West North Central	183108	41.402255639097746	57181
Ohio	11536504	35	OH	North Central	East North Central	116098	51.2030303030303	49429
Oklahoma	3751351	36	OK	South	West South Central	181037	59.76433566433566	46879
Oregon	3831074	37	OR	West	Pacific	254799	50.005188679245286	51243
Pennsylvania	12702379	38	PA	Northeast	Middle Atlantic	119280	49.732727272727274	53599
Rhode Island	1052567	39	RI	Northeast	New England	4001	50.481818181818184	56852
South Carolina	4625364	40	SC	South	South Atlantic	82933	62.521153846153844	45483
South Dakota	814180	41	SD	North Central	West North Central	199729	45.7	50957
Tennessee	6346105	42	TN	South	East South Central	109153	57.836666666666666	45219
Texas	25145561	43	TX	South	West South Central	695662	65.66071428571429	53207
Utah	2763885	44	UT	West	Mountain	219882	49.18361581920904	60727
Vermont	625741	45	VT	Northeast	New England	24906	43.25416666666666	55176
Virginia	8001024	46	VA	South	South Atlantic	110787	55.71923076923077	65015
Washington	6724540	47	WA	West	Pacific	184661	49.76234567901235	61062
West Virginia	1852994	48	WV	South	South Atlantic	62756	51.77247706422018	41751
Wisconsin	5686986	49	WI	North Central	East North Central	169635	44.273737373737376	53357
Wyoming	563626	50	WY	West	Mountain	253335	43.32802547770701	58840
