from_state	to_state	n_workers
Alabama	Alabama	1885374
Alabama	Alaska	98
Alabama	Arizona	86
Alabama	Arkansas	347
Alabama	California	510
Alabama	Colorado	48
Alabama	Connecticut	14
Alabama	Delaware	28
Alabama	Florida	8425
Alabama	Georgia	43654
Alabama	Hawaii	71
Alabama	Idaho	13
Alabama	Illinois	349
Alabama	Indiana	201
Alabama	Iowa	165
Alabama	Kansas	122
Alabama	Kentucky	388
Alabama	Louisiana	2889
Alabama	Maine	73
Alabama	Maryland	249
Alabama	Massachusetts	182
Alabama	Michigan	247
Alabama	Minnesota	178
Alabama	Mississippi	13913
Alabama	Missouri	346
Alabama	Nebraska	41
Alabama	Nevada	86
Alabama	New Hampshire	22
Alabama	New Jersey	212
Alabama	New Mexico	80
Alabama	New York	261
Alabama	North Carolina	677
Alabama	North Dakota	3
Alabama	Ohio	553
Alabama	Oklahoma	176
Alabama	Oregon	80
Alabama	Pennsylvania	419
Alabama	South Carolina	432
Alabama	Tennessee	8046
Alabama	Texas	1714
Alabama	Utah	82
Alabama	Vermont	23
Alabama	Virginia	745
Alabama	Washington	268
Alabama	West Virginia	144
Alabama	Wisconsin	125
Alabama	Wyoming	23
Alaska	Alabama	71
Alaska	Alaska	347094
Alaska	Arizona	8
Alaska	California	108
Alaska	Colorado	66
Alaska	Connecticut	1
Alaska	Delaware	21
Alaska	Florida	3
Alaska	Georgia	29
Alaska	Hawaii	33
Alaska	Idaho	19
Alaska	Illinois	14
Alaska	Indiana	7
Alaska	Iowa	8
Alaska	Kentucky	13
Alaska	Louisiana	42
Alaska	Maryland	4
Alaska	Michigan	57
Alaska	Minnesota	3
Alaska	Mississippi	16
Alaska	Montana	2
Alaska	Nebraska	9
Alaska	Nevada	50
Alaska	New Jersey	45
Alaska	New York	20
Alaska	North Dakota	35
Alaska	Oregon	12
Alaska	Pennsylvania	20
Alaska	South Dakota	38
Alaska	Tennessee	7
Alaska	Texas	52
Alaska	Utah	4
Alaska	Virginia	31
Alaska	Washington	213
Arizona	Alabama	123
Arizona	Alaska	400
Arizona	Arizona	2637844
Arizona	Arkansas	118
Arizona	California	10953
Arizona	Colorado	1337
Arizona	Connecticut	106
Arizona	Delaware	44
Arizona	Florida	557
