state1	state2	f_commuting
Alabama	Alaska	7.569524288991001e-5
Alabama	Arizona	4.620390690509651e-5
Alabama	Arkansas	1.8878862912066234e-4
Alabama	California	4.177697593491457e-5
Alabama	Colorado	4.8079300940766994e-5
Alabama	Connecticut	1.6551533628007706e-5
Alabama	Delaware	1.2491401008769855e-5
Alabama	Florida	0.0017947599718205912
Alabama	Georgia	0.009268904141923951
Alabama	Hawaii	2.789070457812167e-5
Alabama	Idaho	5.132683825097087e-6
Alabama	Illinois	7.614181379829545e-5
Alabama	Indiana	1.2501406138298372e-4
Alabama	Iowa	7.634243684459643e-5
Alabama	Kansas	4.967544846330424e-5
Alabama	Kentucky	2.480975253869335e-4
Alabama	Louisiana	9.479827604176375e-4
Alabama	Maine	3.971557231543792e-5
Alabama	Maryland	8.068337178850947e-5
Alabama	Massachusetts	5.162870556029152e-5
Alabama	Michigan	9.745501274980408e-5
Alabama	Minnesota	4.7374825858773875e-5
Alabama	Mississippi	0.007217808497199911
Alabama	Missouri	1.0989785766324924e-4
Alabama	Nebraska	1.7887974058144503e-5
Alabama	Nevada	3.672735238692038e-5
Alabama	New Hampshire	2.484094667626097e-5
Alabama	New Jersey	4.945950323904587e-5
Alabama	New Mexico	3.3724451436973216e-5
Alabama	New York	4.341983349586476e-5
Alabama	North Carolina	2.2766889353916287e-4
Alabama	North Dakota	1.3384055931077466e-6
Alabama	Ohio	1.394796698604566e-4
Alabama	Oklahoma	7.824735040244747e-5
Alabama	Oregon	3.2135940666905334e-5
Alabama	Pennsylvania	8.42033099087228e-5
Alabama	South Carolina	2.6050967234819553e-4
Alabama	South Dakota	9.616242007591586e-6
Alabama	Tennessee	0.004040778180984155
Alabama	Texas	2.0987569634893516e-4
Alabama	Utah	3.8987824933161445e-5
Alabama	Vermont	1.192374489973277e-5
Alabama	Virginia	1.8572928078031966e-4
Alabama	Washington	7.497429380021673e-5
Alabama	West Virginia	7.134340418403445e-5
Alabama	Wisconsin	4.140600781456243e-5
Alabama	Wyoming	1.801239252605793e-5
Alaska	Arizona	1.366675755507067e-4
Alaska	Arkansas	8.637641138729023e-5
Alaska	California	5.6709764678634095e-5
Alaska	Colorado	1.4098085650854502e-4
Alaska	Connecticut	3.204586933830875e-5
Alaska	Delaware	2.9861145672622305e-5
Alaska	Florida	2.4698012841048384e-5
Alaska	Georgia	2.4331651220198516e-5
Alaska	Hawaii	1.359886523921595e-4
Alaska	Idaho	4.4525387511583635e-4
Alaska	Illinois	1.0266311430213093e-5
Alaska	Indiana	4.785357323924717e-5
Alaska	Iowa	1.5540826305734675e-5
Alaska	Kansas	2.959079627599829e-5
Alaska	Kentucky	4.125606767548268e-5
Alaska	Louisiana	1.2789190047364103e-4
Alaska	Maine	9.430453028485207e-6
Alaska	Maryland	1.643899270620159e-5
Alaska	Massachusetts	3.46951768499902e-6
Alaska	Michigan	3.5805239439607214e-5
Alaska	Minnesota	5.1698202010388654e-5
