state	area
Alabama	135767
Alaska	1723337
Arizona	295234
Arkansas	137732
California	423967
Colorado	269601
Connecticut	14357
Delaware	6446
Florida	170312
Georgia	153910
Hawaii	28313
Idaho	216443
Illinois	149995
Indiana	94326
Iowa	145746
Kansas	213100
Kentucky	104656
Louisiana	135659
Maine	91633
Maryland	32131
Massachusetts	27336
Michigan	250487
Minnesota	225163
Mississippi	125438
Missouri	180540
Montana	380831
Nebraska	200330
Nevada	286380
New Hampshire	24214
New Jersey	22591
New Mexico	314917
New York	141297
North Carolina	139391
North Dakota	183108
Ohio	116098
Oklahoma	181037
Oregon	254799
Pennsylvania	119280
Rhode Island	4001
South Carolina	82933
South Dakota	199729
Tennessee	109153
Texas	695662
Utah	219882
Vermont	24906
Virginia	110787
Washington	184661
West Virginia	62756
Wisconsin	169635
Wyoming	253335
